recording_id,dataset_kind,period,category_id,species_name_zh,relative_path,captured_at,byte_length,duration_seconds,sample_rate,channels,bit_depth,sha256
challenge_a14655c56ec1784d846a,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_120005.wav,2026-01-16T12:00:05,5760044,60.0,48000,1,16,c398ba9ffec7981ec002ee028fbd026ec5030ea2c355991e88dd162c277a0602
challenge_df0baea70097a6f25c30,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_120504.wav,2026-01-16T12:05:04,5760044,60.0,48000,1,16,ec848b990ebd342cec142c1225e114be129d9abc4d67f01f6ee7d80c80dd74de
challenge_b8891d1dabdc720b8f0e,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_121003.wav,2026-01-16T12:10:03,5760044,60.0,48000,1,16,fd19e8afa15a4fbae042bb0b72232ab0bcb50f8e11c57deed368f5d757a1a184
challenge_b65ca3e88d9a818235f5,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_121502.wav,2026-01-16T12:15:02,5760044,60.0,48000,1,16,384705265460280556411963ce42809ad1f0c6fce10c846a08258fa237879e07
challenge_c6b1f78859535e53be56,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_122001.wav,2026-01-16T12:20:01,5760044,60.0,48000,1,16,5500422751490de66a68221e34a410a0c874dbb1147f9e2c3453753018fc5ec3
challenge_e8f8bb9573d3af4274bb,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_122505.wav,2026-01-16T12:25:05,5760044,60.0,48000,1,16,e2015e94b01f928b07af0c0de16e0255c81e982d971e7b905e48de0ecd9c25f9
challenge_739fe2d3ea7fdd18305c,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_123004.wav,2026-01-16T12:30:04,5760044,60.0,48000,1,16,043bb71a4b422aa1b17b1aa71dea7448d6367759cb42a993a999fd5154523c8a
challenge_2a6d917545109d63e90b,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_123503.wav,2026-01-16T12:35:03,5760044,60.0,48000,1,16,3733b4ffd8feeecead6e260ccebf9b3c03aa21943a08d5f5c253f108f6bc74b9
challenge_42d456bcf373cc227d6f,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_124002.wav,2026-01-16T12:40:02,5760044,60.0,48000,1,16,5b4fa6623b53b213e61d0abc3aabb42cd3d3955a9e1adb9a789192cfe636b704
challenge_f6bff417877ae18486af,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_124501.wav,2026-01-16T12:45:01,5760044,60.0,48000,1,16,217d14f1e83ea701f7fcd307cc0d0514b964ceefcfd59c8c15bcaa2f5564fe78
challenge_821df7daafe28d1d76e9,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_125005.wav,2026-01-16T12:50:05,5760044,60.0,48000,1,16,96bc5d9d25b4f37a74db79d14006ac1db2b604c81303a08b866cd53be3dcaf55
challenge_7c564eba0f7f82444091,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_125504.wav,2026-01-16T12:55:04,5760044,60.0,48000,1,16,3af6049cc9bc306d71c454bcc734eded8cca00f0b7fd856285d899aaed7f98b0
challenge_91fb76c66cddb26850e1,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_130003.wav,2026-01-16T13:00:03,5760044,60.0,48000,1,16,5e995d3b6f9f806cf3abb78ec45151b734598fcb5c0dd96f53e359ae6c51bc49
challenge_10ceba126d59101ea41c,wild,2026A 0116-0122,,,2026A 0116-0122/AAA001_20260116_130502.wav,2026-01-16T13:05:02,5760044,60.0,48000,1,16,65fce87a81ec2388a8143cbb839598877d1bdc755e5a56bdab4bc4a9d54b5c11
