source,source_id,taxon_id,scientific_name,name_zh,category_id,source_url,media_url,license_code,license_url,commercial_compatible,attribution,quality_grade,observed_on,latitude,longitude,locality,split_hint,split_group,local_path,sha256,review_status,reviewer,valid_intervals,review_notes
inaturalist,inat_298122186_1569296,cryptotympana_atrata,Cryptotympana atrata,黑蚱蝉,insect,https://www.inaturalist.org/observations/298122186,https://static.inaturalist.org/sounds/1569296.m4a?1752575909,CC0,cc0,True,no rights reserved,research,2025-07-15,29.9759008769,122.1691362276,"Zhoushan, CN-ZJ, CN",,inaturalist_observation_298122186,data\raw\inaturalist\cryptotympana_atrata\inat_298122186_1569296.m4a,8729b6aefc2eb7019010cbc2079dc20f9e997bcba3b05532abe297b1a1851daf,source_curated,,,trusted iNaturalist research-grade community label
inaturalist,inat_299438587_1575197,cryptotympana_atrata,Cryptotympana atrata,黑蚱蝉,insect,https://www.inaturalist.org/observations/299438587,https://static.inaturalist.org/sounds/1575197.m4a?1752996184,CC-BY-NC,cc-by-nc,False,"(c) zerteyua, some rights reserved (CC BY-NC)",research,2025-07-20,29.5499249363,120.8179300942,"西五线, 绍兴市, 浙江省, CN",,inaturalist_observation_299438587,data\raw\inaturalist\cryptotympana_atrata\inat_299438587_1575197.m4a,1ea06e80dc6083f63bc3002215a7968893f467039bd17edaeb5240e84b5726b1,source_curated,,,trusted iNaturalist research-grade community label
inaturalist,inat_299438587_1575198,cryptotympana_atrata,Cryptotympana atrata,黑蚱蝉,insect,https://www.inaturalist.org/observations/299438587,https://static.inaturalist.org/sounds/1575198.m4a?1752996186,CC-BY-NC,cc-by-nc,False,"(c) zerteyua, some rights reserved (CC BY-NC)",research,2025-07-20,29.5499249363,120.8179300942,"西五线, 绍兴市, 浙江省, CN",,inaturalist_observation_299438587,data\raw\inaturalist\cryptotympana_atrata\inat_299438587_1575198.m4a,69616e3dc549b304a680a43779e240d2d2a2da96b5a0a2615197401b82b15b50,source_curated,,,trusted iNaturalist research-grade community label
inaturalist,inat_299781975_1576615,cryptotympana_atrata,Cryptotympana atrata,黑蚱蝉,insect,https://www.inaturalist.org/observations/299781975,https://static.inaturalist.org/sounds/1576615.m4a?1753088659,CC-BY-NC,cc-by-nc,False,"(c) 哈基人, some rights reserved (CC BY-NC)",research,2025-07-21,31.3930083333,121.4859033333,中国 上海市宝山区 新思致公寓,,inaturalist_observation_299781975,data\raw\inaturalist\cryptotympana_atrata\inat_299781975_1576615.m4a,e552950a51c652202a9757832f7246ac5467d8326bc207827d7b1dfacc9e1746,source_curated,,,trusted iNaturalist research-grade community label
inaturalist,inat_301197600_1582376,cryptotympana_atrata,Cryptotympana atrata,黑蚱蝉,insect,https://www.inaturalist.org/observations/301197600,https://static.inaturalist.org/sounds/1582376.m4a?1753536988,CC-BY-NC,cc-by-nc,False,"(c) 哈基人, some rights reserved (CC BY-NC)",research,2025-07-26,31.4473571087,121.4381582395,"Shanghai, Shanghai, CN",,inaturalist_observation_301197600,data\raw\inaturalist\cryptotympana_atrata\inat_301197600_1582376.m4a,3fce17a7d69487fc76581e8619c54a26c18169d3829d7b404cb23833276ea785,source_curated,,,trusted iNaturalist research-grade community label
inaturalist,inat_302789000_1589079,cryptotympana_atrata,Cryptotympana atrata,黑蚱蝉,insect,https://www.inaturalist.org/observations/302789000,https://static.inaturalist.org/sounds/1589079.m4a?1754022581,CC-BY-NC,cc-by-nc,False,"(c) Amaël Borzée, some rights reserved (CC BY-NC)",research,2025-08-01,32.06824788,118.90497857,"Nanjing, CN-JS, CN",,inaturalist_observation_302789000,data\raw\inaturalist\cryptotympana_atrata\inat_302789000_1589079.m4a,16c1216d0425f6f23e730a5693f616d7dd1d1720380c3db98f6921e4f869b1ac,source_curated,,,trusted iNaturalist research-grade community label
inaturalist,inat_303360341_1591683,cryptotympana_atrata,Cryptotympana atrata,黑蚱蝉,insect,https://www.inaturalist.org/observations/303360341,https://static.inaturalist.org/sounds/1591683.m4a?1754210125,CC-BY-NC,cc-by-nc,False,"(c) Amaël Borzée, some rights reserved (CC BY-NC)",research,2025-08-03,32.06862226,118.90448675,"Nanjing, CN-JS, CN",,inaturalist_observation_303360341,data\raw\inaturalist\cryptotympana_atrata\inat_303360341_1591683.m4a,6d996ad495ced580eddcabf6db288739a6181a45a527b9673872ebdaad68791f,source_curated,,,trusted iNaturalist research-grade community label
inaturalist,inat_304445501_1596320,cryptotympana_atrata,Cryptotympana atrata,黑蚱蝉,insect,https://www.inaturalist.org/observations/304445501,https://static.inaturalist.org/sounds/1596320.m4a?1754565928,CC-BY-NC,cc-by-nc,False,"(c) 哈基人, some rights reserved (CC BY-NC)",research,2025-08-07,31.566917173,121.5903849986,"Shanghai, Shanghai, CN",,inaturalist_observation_304445501,data\raw\inaturalist\cryptotympana_atrata\inat_304445501_1596320.m4a,bf4139c0313069e01836b1fff5545e72c42270732ab80f9dbb26d4e3913c2c75,source_curated,,,trusted iNaturalist research-grade community label
inaturalist,inat_308757922_1614597,cryptotympana_atrata,Cryptotympana atrata,黑蚱蝉,insect,https://www.inaturalist.org/observations/308757922,https://static.inaturalist.org/sounds/1614597.m4a?1756054294,CC-BY-NC,cc-by-nc,False,"(c) MP Zhou, some rights reserved (CC BY-NC)",research,2025-08-08,32.220475,110.7442055556,"Shiyan, CN-HU, CN",,inaturalist_observation_308757922,data\raw\inaturalist\cryptotympana_atrata\inat_308757922_1614597.m4a,03437e1b1ff45277ba1ef7aad54efe6383737c7efca7caea4729b6b8a285bcee,source_curated,,,trusted iNaturalist research-grade community label
inaturalist,inat_373822324_2034025,cryptotympana_atrata,Cryptotympana atrata,黑蚱蝉,insect,https://www.inaturalist.org/observations/373822324,https://static.inaturalist.org/sounds/2034025.wav?1782018312,CC-BY-NC,cc-by-nc,False,"(c) 蝉之风韵, some rights reserved (CC BY-NC)",research,2026-06-21,32.01965,118.902345,"Nanjing, CN-JS, CN",,inaturalist_observation_373822324,data\raw\inaturalist\cryptotympana_atrata\inat_373822324_2034025.wav,5a7a751783d42787708ec8d8aeb0d59bc72b56c40f061677d395d0ca8e234306,source_curated,,,trusted iNaturalist research-grade community label
inaturalist,inat_376082090_2046617,cryptotympana_atrata,Cryptotympana atrata,黑蚱蝉,insect,https://www.inaturalist.org/observations/376082090,https://static.inaturalist.org/sounds/2046617.m4a?1782622293,CC-BY-NC,cc-by-nc,False,"(c) 虹, some rights reserved (CC BY-NC)",research,2026-06-28,30.7900680496,120.7408492328,"时代·阳光小区东区, 嘉兴市, 浙江省, CN",,inaturalist_observation_376082090,data\raw\inaturalist\cryptotympana_atrata\inat_376082090_2046617.m4a,5a3d838d37362a245e256d90a98bb741dbb366118702923988900038be9c0b70,source_curated,,,trusted iNaturalist research-grade community label
