mixture_path,scenario,expected_species_zh,candidate_species_zh,candidate_birdnet_label,confidence,rank,is_expected,displayed
data/interim/challenge_2026_multibird_mixtures/overlap_equal/001__乌鸫__喜鹊.wav,overlap_equal,乌鸫|喜鹊,喜鹊,Pica serica_Oriental Magpie,0.931134,1,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_equal/001__乌鸫__喜鹊.wav,overlap_equal,乌鸫|喜鹊,乌鸫,Turdus mandarinus_Chinese Blackbird,0.024182,2,True,False
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_6db/002__乌鸫__喜鹊.wav,overlap_secondary_minus_6db,乌鸫|喜鹊,喜鹊,Pica serica_Oriental Magpie,0.777921,1,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_6db/002__乌鸫__喜鹊.wav,overlap_secondary_minus_6db,乌鸫|喜鹊,乌鸫,Turdus mandarinus_Chinese Blackbird,0.079474,2,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_12db/003__乌鸫__喜鹊.wav,overlap_secondary_minus_12db,乌鸫|喜鹊,喜鹊,Pica serica_Oriental Magpie,0.512057,1,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_12db/003__乌鸫__喜鹊.wav,overlap_secondary_minus_12db,乌鸫|喜鹊,乌鸫,Turdus mandarinus_Chinese Blackbird,0.14514,2,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_12db/003__乌鸫__喜鹊.wav,overlap_secondary_minus_12db,乌鸫|喜鹊,白腹鸫,Turdus pallidus_Pale Thrush,0.012678,3,False,False
data/interim/challenge_2026_multibird_mixtures/sequential_equal/004__乌鸫__喜鹊.wav,sequential_equal,乌鸫|喜鹊,喜鹊,Pica serica_Oriental Magpie,0.97302,1,True,True
data/interim/challenge_2026_multibird_mixtures/sequential_equal/004__乌鸫__喜鹊.wav,sequential_equal,乌鸫|喜鹊,乌鸫,Turdus mandarinus_Chinese Blackbird,0.762373,2,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_three_equal/005__乌鸫__喜鹊__棕背伯劳.wav,overlap_three_equal,乌鸫|喜鹊|棕背伯劳,喜鹊,Pica serica_Oriental Magpie,0.230166,1,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_three_equal/005__乌鸫__喜鹊__棕背伯劳.wav,overlap_three_equal,乌鸫|喜鹊|棕背伯劳,棕背伯劳,Lanius schach_Long-tailed Shrike,0.140514,2,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_three_equal/005__乌鸫__喜鹊__棕背伯劳.wav,overlap_three_equal,乌鸫|喜鹊|棕背伯劳,红尾伯劳,Lanius cristatus_Brown Shrike,0.011661,3,False,False
data/interim/challenge_2026_multibird_mixtures/overlap_equal/006__喜鹊__大杜鹃.wav,overlap_equal,喜鹊|大杜鹃,大杜鹃,Cuculus canorus_Common Cuckoo,0.78513,1,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_equal/006__喜鹊__大杜鹃.wav,overlap_equal,喜鹊|大杜鹃,喜鹊,Pica serica_Oriental Magpie,0.550953,2,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_6db/007__喜鹊__大杜鹃.wav,overlap_secondary_minus_6db,喜鹊|大杜鹃,喜鹊,Pica serica_Oriental Magpie,0.721586,1,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_6db/007__喜鹊__大杜鹃.wav,overlap_secondary_minus_6db,喜鹊|大杜鹃,大杜鹃,Cuculus canorus_Common Cuckoo,0.578637,2,True,True
data/interim/challenge_2026_multibird_mixtures/overlap_secondary_minus_12db/008__喜鹊__大杜鹃.wav,overlap_secondary_minus_12db,喜鹊|大杜鹃,喜鹊,Pica serica_Oriental Magpie,0.808112,1,True,True
data/interim/challenge_2026_multibird_mixtures/sequential_equal/009__喜鹊__大杜鹃.wav,sequential_equal,喜鹊|大杜鹃,大杜鹃,Cuculus canorus_Common Cuckoo,0.978655,1,True,True
data/interim/challenge_2026_multibird_mixtures/sequential_equal/009__喜鹊__大杜鹃.wav,sequential_equal,喜鹊|大杜鹃,喜鹊,Pica serica_Oriental Magpie,0.97302,2,True,True
