audio_path,labels,split,split_group,review_status,start_seconds,end_seconds,source_dataset,source_recording_id,source_url,license,commercial_compatible,reviewer
..\interim\challenge_2026_nonbird_48k\official_1f94b3cc32605bed_5613efebfc72.wav,cryptotympana_atrata,test,official_source_1f94b3cc32605bedff368831788036fc5c60d216015afc92e0f2cc8edc1d8af2,official_reference,,,shengshengbuxi_2026_official,official_1f94b3cc32605bed,organizer-provided challenge package,ORGANIZER_PROVIDED,false,organizer
..\interim\challenge_2026_nonbird_48k\official_c8d3b8095556b168_a528a0f50d73.wav,cryptotympana_atrata,test,official_source_c8d3b8095556b16896fa332385014bfb96ee00eb5ef00d6a5440be0a2093b273,official_reference,,,shengshengbuxi_2026_official,official_c8d3b8095556b168,organizer-provided challenge package,ORGANIZER_PROVIDED,false,organizer
..\interim\challenge_2026_nonbird_48k\official_d78976853a7ec11c_7bb8b44df3b9.wav,fejervarya_multistriata,test,official_source_d78976853a7ec11ce99e2f3c767f42ba1f2dc82edb9ac503f22c451f54c7e1f8,official_reference,,,shengshengbuxi_2026_official,official_d78976853a7ec11c,organizer-provided challenge package,ORGANIZER_PROVIDED,false,organizer
..\interim\challenge_2026_nonbird_48k\official_d9b9bda740f9d865_26828bfe97ea.wav,fejervarya_multistriata,test,official_source_d9b9bda740f9d8650f4c6d78810382ed5b4dcdb89e6db6616ee8b4ef86058488,official_reference,,,shengshengbuxi_2026_official,official_d9b9bda740f9d865,organizer-provided challenge package,ORGANIZER_PROVIDED,false,organizer
..\interim\challenge_2026_nonbird_48k\official_4e527673f47a939c_6fa879099db2.wav,mecopoda_elongata,test,official_source_4e527673f47a939c960ea794b6ed242dda42278694b9229028f4e5f6f6e16724,official_reference,,,shengshengbuxi_2026_official,official_4e527673f47a939c,organizer-provided challenge package,ORGANIZER_PROVIDED,false,organizer
..\interim\challenge_2026_nonbird_48k\official_5714868243a18bb3_0154ed02019d.wav,microhyla_fissipes,test,official_source_5714868243a18bb30c8d6008c296d948f0d0ab8ca1bdd161d4041e4dfe65a6c4,official_reference,,,shengshengbuxi_2026_official,official_5714868243a18bb3,organizer-provided challenge package,ORGANIZER_PROVIDED,false,organizer
..\interim\challenge_2026_nonbird_48k\official_89389480ac7eb2be_f447095d2653.wav,microhyla_fissipes,test,official_source_89389480ac7eb2beab814f7d9864115046ab3a68353d7e3b074f2da74c4301cf,official_reference,,,shengshengbuxi_2026_official,official_89389480ac7eb2be,organizer-provided challenge package,ORGANIZER_PROVIDED,false,organizer
..\interim\challenge_2026_nonbird_48k\official_4f679d930465ee43_2e6f6e3a88ee.wav,nidirana_mangveni,test,official_source_4f679d930465ee430cc702bce3327a341682a8fcf8e983ad967c62d85727a25f,official_reference,,,shengshengbuxi_2026_official,official_4f679d930465ee43,organizer-provided challenge package,ORGANIZER_PROVIDED,false,organizer
..\interim\challenge_2026_nonbird_48k\official_604bc7b44a698a9d_55f92cf49c52.wav,pelophylax_nigromaculatus,test,official_source_604bc7b44a698a9de12ba712a9b1508fbd1b0880191b05bbb9cb102e050a4baf,official_reference,,,shengshengbuxi_2026_official,official_604bc7b44a698a9d,organizer-provided challenge package,ORGANIZER_PROVIDED,false,organizer
..\interim\challenge_2026_nonbird_48k\official_8b7e9b159e64e296_311d05ce3f12.wav,pelophylax_nigromaculatus,test,official_source_8b7e9b159e64e296181b7bf86ecc21015ff0a09475a1c914732babed8504519f,official_reference,,,shengshengbuxi_2026_official,official_8b7e9b159e64e296,organizer-provided challenge package,ORGANIZER_PROVIDED,false,organizer
..\interim\challenge_2026_nonbird_48k\official_c07c8364965a92fa_c25e8932d0a6.wav,streeyola_mongolica,test,official_source_c07c8364965a92fa50a5f493f459d5fe1890159f451cba87a02920119bd6d8e3,official_reference,,,shengshengbuxi_2026_official,official_c07c8364965a92fa,organizer-provided challenge package,ORGANIZER_PROVIDED,false,organizer
..\interim\challenge_2026_nonbird_48k\official_c3e1bfdde208a12b_13299cd94929.wav,streeyola_mongolica,test,official_source_c3e1bfdde208a12b94fbce6f7325bf584a3e0632039a018808a295bf7cb07e96,official_reference,,,shengshengbuxi_2026_official,official_c3e1bfdde208a12b,organizer-provided challenge package,ORGANIZER_PROVIDED,false,organizer
..\interim\challenge_2026_nonbird_48k\official_4aaae1f7b1bb4226_d140a0e7930a.wav,teleogryllus_emma,test,official_source_4aaae1f7b1bb422686f7dab02934753e6b5bf55104cfed9b7a96b0fc864c5454,official_reference,,,shengshengbuxi_2026_official,official_4aaae1f7b1bb4226,organizer-provided challenge package,ORGANIZER_PROVIDED,false,organizer
..\interim\challenge_2026_nonbird_48k\official_40a74aa318159b39_2af03c082dda.wav,velarifictorus_micado,test,official_source_40a74aa318159b39d9f1b9054d7f6593e47e6c51670621c6b63262132facf4f8,official_reference,,,shengshengbuxi_2026_official,official_40a74aa318159b39,organizer-provided challenge package,ORGANIZER_PROVIDED,false,organizer
..\interim\challenge_2026_nonbird_48k\inat_298122186_1569296_87c1b10e3b4a.wav,cryptotympana_atrata,validation,inaturalist_observation_298122186,source_curated,,,inaturalist,inat_298122186_1569296,https://www.inaturalist.org/observations/298122186,CC0,true,
..\interim\challenge_2026_nonbird_48k\inat_299438587_1575197_d4cf673bfbc5.wav,cryptotympana_atrata,train,inaturalist_observation_299438587,source_curated,,,inaturalist,inat_299438587_1575197,https://www.inaturalist.org/observations/299438587,CC-BY-NC,false,
..\interim\challenge_2026_nonbird_48k\inat_299438587_1575198_de3127570240.wav,cryptotympana_atrata,train,inaturalist_observation_299438587,source_curated,,,inaturalist,inat_299438587_1575198,https://www.inaturalist.org/observations/299438587,CC-BY-NC,false,
..\interim\challenge_2026_nonbird_48k\inat_299781975_1576615_9e1eb74bdad2.wav,cryptotympana_atrata,test,inaturalist_observation_299781975,source_curated,,,inaturalist,inat_299781975_1576615,https://www.inaturalist.org/observations/299781975,CC-BY-NC,false,
..\interim\challenge_2026_nonbird_48k\inat_301197600_1582376_b4bb8ad2510e.wav,cryptotympana_atrata,validation,inaturalist_observation_301197600,source_curated,,,inaturalist,inat_301197600_1582376,https://www.inaturalist.org/observations/301197600,CC-BY-NC,false,
..\interim\challenge_2026_nonbird_48k\inat_302789000_1589079_e947348045b8.wav,cryptotympana_atrata,train,inaturalist_observation_302789000,source_curated,,,inaturalist,inat_302789000_1589079,https://www.inaturalist.org/observations/302789000,CC-BY-NC,false,
..\interim\challenge_2026_nonbird_48k\inat_303360341_1591683_e8efb0cd30ca.wav,cryptotympana_atrata,train,inaturalist_observation_303360341,source_curated,,,inaturalist,inat_303360341_1591683,https://www.inaturalist.org/observations/303360341,CC-BY-NC,false,
..\interim\challenge_2026_nonbird_48k\inat_304445501_1596320_a14f2107dc9c.wav,cryptotympana_atrata,train,inaturalist_observation_304445501,source_curated,,,inaturalist,inat_304445501_1596320,https://www.inaturalist.org/observations/304445501,CC-BY-NC,false,
..\interim\challenge_2026_nonbird_48k\inat_308757922_1614597_b8f407f4bc56.wav,cryptotympana_atrata,train,inaturalist_observation_308757922,source_curated,,,inaturalist,inat_308757922_1614597,https://www.inaturalist.org/observations/308757922,CC-BY-NC,false,
..\interim\challenge_2026_nonbird_48k\inat_373822324_2034025_2d7b4c170f99.wav,cryptotympana_atrata,train,inaturalist_observation_373822324,source_curated,,,inaturalist,inat_373822324_2034025,https://www.inaturalist.org/observations/373822324,CC-BY-NC,false,
..\interim\challenge_2026_nonbird_48k\inat_376082090_2046617_47f71649694a.wav,cryptotympana_atrata,train,inaturalist_observation_376082090,source_curated,,,inaturalist,inat_376082090_2046617,https://www.inaturalist.org/observations/376082090,CC-BY-NC,false,
..\interim\challenge_2026_nonbird_48k\inat_382216635_2075662_37dd68ae6613.wav,cryptotympana_atrata,train,inaturalist_observation_382216635,source_curated,,,inaturalist,inat_382216635_2075662,https://www.inaturalist.org/observations/382216635,CC-BY-NC,false,
..\interim\challenge_2026_nonbird_48k\inat_120498508_463174_d0323f4186dd.wav,fejervarya_multistriata,validation,inaturalist_observation_120498508,source_curated,,,inaturalist,inat_120498508_463174,https://www.inaturalist.org/observations/120498508,CC-BY-NC,false,
..\interim\challenge_2026_nonbird_48k\inat_123221874_480820_0c39a931d758.wav,fejervarya_multistriata,train,inaturalist_observation_123221874,source_curated,,,inaturalist,inat_123221874_480820,https://www.inaturalist.org/observations/123221874,CC-BY-NC,false,
..\interim\challenge_2026_nonbird_48k\inat_123222060_480822_f7cbcabb4616.wav,fejervarya_multistriata,train,inaturalist_observation_123222060,source_curated,,,inaturalist,inat_123222060_480822,https://www.inaturalist.org/observations/123222060,CC-BY-NC,false,
..\interim\challenge_2026_nonbird_48k\inat_166115456_729434_91d1a15458f2.wav,fejervarya_multistriata,train,inaturalist_observation_166115456,source_curated,,,inaturalist,inat_166115456_729434,https://www.inaturalist.org/observations/166115456,CC-BY-NC,false,
..\interim\challenge_2026_nonbird_48k\inat_166407253_731575_3aed814043ea.wav,fejervarya_multistriata,train,inaturalist_observation_166407253,source_curated,,,inaturalist,inat_166407253_731575,https://www.inaturalist.org/observations/166407253,CC-BY-NC,false,
..\interim\challenge_2026_nonbird_48k\inat_189653132_839911_0661e4abecd4.wav,fejervarya_multistriata,test,inaturalist_observation_189653132,source_curated,,,inaturalist,inat_189653132_839911,https://www.inaturalist.org/observations/189653132,CC-BY-NC,false,
..\interim\challenge_2026_nonbird_48k\inat_240743641_1197181_dd5f94336ea2.wav,fejervarya_multistriata,train,inaturalist_observation_240743641,source_curated,,,inaturalist,inat_240743641_1197181,https://www.inaturalist.org/observations/240743641,CC-BY-NC,false,
..\interim\challenge_2026_nonbird_48k\inat_295485199_1556307_161a273733f3.wav,fejervarya_multistriata,train,inaturalist_observation_295485199,source_curated,,,inaturalist,inat_295485199_1556307,https://www.inaturalist.org/observations/295485199,CC-BY-NC,false,
..\interim\challenge_2026_nonbird_48k\inat_352278758_1877049_567921ad3f93.wav,fejervarya_multistriata,train,inaturalist_observation_352278758,source_curated,,,inaturalist,inat_352278758_1877049,https://www.inaturalist.org/observations/352278758,CC-BY-NC,false,
..\interim\challenge_2026_nonbird_48k\inat_364735599_1975889_5d6be3b766e1.wav,fejervarya_multistriata,train,inaturalist_observation_364735599,source_curated,,,inaturalist,inat_364735599_1975889,https://www.inaturalist.org/observations/364735599,CC-BY,true,
..\interim\challenge_2026_nonbird_48k\inat_172788918_768395_d022d6329a50.wav,mecopoda_elongata,train,inaturalist_observation_172788918,source_curated,,,inaturalist,inat_172788918_768395,https://www.inaturalist.org/observations/172788918,CC-BY-NC,false,
..\interim\challenge_2026_nonbird_48k\inat_62378513_146017_8092ba7939b8.wav,mecopoda_elongata,validation,inaturalist_observation_62378513,source_curated,,,inaturalist,inat_62378513_146017,https://www.inaturalist.org/observations/62378513,CC-BY-NC,false,
..\interim\challenge_2026_nonbird_48k\inat_273510901_1400687_0444edc3eabe.wav,microhyla_fissipes,train,inaturalist_observation_273510901,source_curated,,,inaturalist,inat_273510901_1400687,https://www.inaturalist.org/observations/273510901,CC-BY-NC,false,
..\interim\challenge_2026_nonbird_48k\inat_280214687_1454867_ace437be0eba.wav,microhyla_fissipes,train,inaturalist_observation_280214687,source_curated,,,inaturalist,inat_280214687_1454867,https://www.inaturalist.org/observations/280214687,CC-BY-NC,false,
..\interim\challenge_2026_nonbird_48k\inat_282348150_1472023_490bfbe02f22.wav,microhyla_fissipes,train,inaturalist_observation_282348150,source_curated,,,inaturalist,inat_282348150_1472023,https://www.inaturalist.org/observations/282348150,CC-BY-NC,false,
..\interim\challenge_2026_nonbird_48k\inat_282364032_1472192_25138cea5c19.wav,microhyla_fissipes,train,inaturalist_observation_282364032,source_curated,,,inaturalist,inat_282364032_1472192,https://www.inaturalist.org/observations/282364032,CC-BY-NC,false,
..\interim\challenge_2026_nonbird_48k\inat_287774734_1511647_ccc8b8729e65.wav,microhyla_fissipes,test,inaturalist_observation_287774734,source_curated,,,inaturalist,inat_287774734_1511647,https://www.inaturalist.org/observations/287774734,CC-BY-NC,false,
