candidate_id,source,source_id,taxon_id,name_zh,scientific_name,category_id,period,captured_at,local_path,relative_path,start_seconds,end_seconds,reference_similarity,license_code,attribution,locality,split_group,valid_intervals,review_status,reviewer,reviewed_label,review_notes
cryptotympana_atrata_challenge_e2c54d6d6afdf51a4e2b_00018000,shengshengbuxi_2026_wild,cryptotympana_atrata_challenge_e2c54d6d6afdf51a4e2b_00018000,cryptotympana_atrata,黑蚱蝉,Cryptotympana atrata,insect,2026A 0116-0122,2026-01-19T17:50:01,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026A 0116-0122\AAA001_20260119_175001.wav,2026A 0116-0122/AAA001_20260119_175001.wav,18.0,21.0,0.737362,ORGANIZER_PROVIDED,生声不息AI挑战赛项目组,杭州固定监测位点,challenge_e2c54d6d6afdf51a4e2b,18.000-21.000,pending,,,reference retrieval; not a species detection until reviewed
cryptotympana_atrata_challenge_e2c54d6d6afdf51a4e2b_00051000,shengshengbuxi_2026_wild,cryptotympana_atrata_challenge_e2c54d6d6afdf51a4e2b_00051000,cryptotympana_atrata,黑蚱蝉,Cryptotympana atrata,insect,2026A 0116-0122,2026-01-19T17:50:01,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026A 0116-0122\AAA001_20260119_175001.wav,2026A 0116-0122/AAA001_20260119_175001.wav,51.0,54.0,0.702067,ORGANIZER_PROVIDED,生声不息AI挑战赛项目组,杭州固定监测位点,challenge_e2c54d6d6afdf51a4e2b,51.000-54.000,pending,,,reference retrieval; not a species detection until reviewed
cryptotympana_atrata_challenge_e2c54d6d6afdf51a4e2b_00054000,shengshengbuxi_2026_wild,cryptotympana_atrata_challenge_e2c54d6d6afdf51a4e2b_00054000,cryptotympana_atrata,黑蚱蝉,Cryptotympana atrata,insect,2026A 0116-0122,2026-01-19T17:50:01,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026A 0116-0122\AAA001_20260119_175001.wav,2026A 0116-0122/AAA001_20260119_175001.wav,54.0,57.0,0.69731,ORGANIZER_PROVIDED,生声不息AI挑战赛项目组,杭州固定监测位点,challenge_e2c54d6d6afdf51a4e2b,54.000-57.000,pending,,,reference retrieval; not a species detection until reviewed
cryptotympana_atrata_challenge_e2c54d6d6afdf51a4e2b_00033000,shengshengbuxi_2026_wild,cryptotympana_atrata_challenge_e2c54d6d6afdf51a4e2b_00033000,cryptotympana_atrata,黑蚱蝉,Cryptotympana atrata,insect,2026A 0116-0122,2026-01-19T17:50:01,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026A 0116-0122\AAA001_20260119_175001.wav,2026A 0116-0122/AAA001_20260119_175001.wav,33.0,36.0,0.695929,ORGANIZER_PROVIDED,生声不息AI挑战赛项目组,杭州固定监测位点,challenge_e2c54d6d6afdf51a4e2b,33.000-36.000,pending,,,reference retrieval; not a species detection until reviewed
cryptotympana_atrata_challenge_8bccd4a7b383c6b161ac_00057000,shengshengbuxi_2026_wild,cryptotympana_atrata_challenge_8bccd4a7b383c6b161ac_00057000,cryptotympana_atrata,黑蚱蝉,Cryptotympana atrata,insect,2026A 0116-0122,2026-01-19T23:35:05,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026A 0116-0122\AAA001_20260119_233505.wav,2026A 0116-0122/AAA001_20260119_233505.wav,57.0,60.0,0.69057,ORGANIZER_PROVIDED,生声不息AI挑战赛项目组,杭州固定监测位点,challenge_8bccd4a7b383c6b161ac,57.000-60.000,pending,,,reference retrieval; not a species detection until reviewed
cryptotympana_atrata_challenge_e2c54d6d6afdf51a4e2b_00045000,shengshengbuxi_2026_wild,cryptotympana_atrata_challenge_e2c54d6d6afdf51a4e2b_00045000,cryptotympana_atrata,黑蚱蝉,Cryptotympana atrata,insect,2026A 0116-0122,2026-01-19T17:50:01,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026A 0116-0122\AAA001_20260119_175001.wav,2026A 0116-0122/AAA001_20260119_175001.wav,45.0,48.0,0.684902,ORGANIZER_PROVIDED,生声不息AI挑战赛项目组,杭州固定监测位点,challenge_e2c54d6d6afdf51a4e2b,45.000-48.000,pending,,,reference retrieval; not a species detection until reviewed
cryptotympana_atrata_challenge_e2c54d6d6afdf51a4e2b_00027000,shengshengbuxi_2026_wild,cryptotympana_atrata_challenge_e2c54d6d6afdf51a4e2b_00027000,cryptotympana_atrata,黑蚱蝉,Cryptotympana atrata,insect,2026A 0116-0122,2026-01-19T17:50:01,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026A 0116-0122\AAA001_20260119_175001.wav,2026A 0116-0122/AAA001_20260119_175001.wav,27.0,30.0,0.68483,ORGANIZER_PROVIDED,生声不息AI挑战赛项目组,杭州固定监测位点,challenge_e2c54d6d6afdf51a4e2b,27.000-30.000,pending,,,reference retrieval; not a species detection until reviewed
cryptotympana_atrata_challenge_e2c54d6d6afdf51a4e2b_00042000,shengshengbuxi_2026_wild,cryptotympana_atrata_challenge_e2c54d6d6afdf51a4e2b_00042000,cryptotympana_atrata,黑蚱蝉,Cryptotympana atrata,insect,2026A 0116-0122,2026-01-19T17:50:01,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026A 0116-0122\AAA001_20260119_175001.wav,2026A 0116-0122/AAA001_20260119_175001.wav,42.0,45.0,0.68016,ORGANIZER_PROVIDED,生声不息AI挑战赛项目组,杭州固定监测位点,challenge_e2c54d6d6afdf51a4e2b,42.000-45.000,pending,,,reference retrieval; not a species detection until reviewed
cryptotympana_atrata_challenge_83dfc0e18e906563deaa_00051000,shengshengbuxi_2026_wild,cryptotympana_atrata_challenge_83dfc0e18e906563deaa_00051000,cryptotympana_atrata,黑蚱蝉,Cryptotympana atrata,insect,2026A 0116-0122,2026-01-21T12:05:02,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026A 0116-0122\AAA001_20260121_120502.wav,2026A 0116-0122/AAA001_20260121_120502.wav,51.0,54.0,0.677398,ORGANIZER_PROVIDED,生声不息AI挑战赛项目组,杭州固定监测位点,challenge_83dfc0e18e906563deaa,51.000-54.000,pending,,,reference retrieval; not a species detection until reviewed
cryptotympana_atrata_challenge_e2c54d6d6afdf51a4e2b_00015000,shengshengbuxi_2026_wild,cryptotympana_atrata_challenge_e2c54d6d6afdf51a4e2b_00015000,cryptotympana_atrata,黑蚱蝉,Cryptotympana atrata,insect,2026A 0116-0122,2026-01-19T17:50:01,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026A 0116-0122\AAA001_20260119_175001.wav,2026A 0116-0122/AAA001_20260119_175001.wav,15.0,18.0,0.6763,ORGANIZER_PROVIDED,生声不息AI挑战赛项目组,杭州固定监测位点,challenge_e2c54d6d6afdf51a4e2b,15.000-18.000,pending,,,reference retrieval; not a species detection until reviewed
