audio_path,labels,split,split_group,review_status,start_seconds,end_seconds,source_dataset,source_recording_id,source_url,license,commercial_compatible,reviewer
..\interim\challenge_2026_standard_48k_v2\虫\黑蚱蝉\黑蚱蝉__m4a.wav,cryptotympana_atrata,test,official_source_1f94b3cc32605bedff368831788036fc5c60d216015afc92e0f2cc8edc1d8af2,official_reference,,,shengshengbuxi_2026_official,official_1f94b3cc32605bed,organizer-provided challenge package,ORGANIZER_PROVIDED,false,organizer
..\interim\challenge_2026_standard_48k_v2\虫\黑蚱蝉\黑蚱蝉(1)__m4a.wav,cryptotympana_atrata,test,official_source_c8d3b8095556b16896fa332385014bfb96ee00eb5ef00d6a5440be0a2093b273,official_reference,,,shengshengbuxi_2026_official,official_c8d3b8095556b168,organizer-provided challenge package,ORGANIZER_PROVIDED,false,organizer
..\interim\challenge_2026_standard_48k_v2\蛙\泽路蛙\泽陆蛙__wav.wav,fejervarya_multistriata,test,official_source_d78976853a7ec11ce99e2f3c767f42ba1f2dc82edb9ac503f22c451f54c7e1f8,official_reference,,,shengshengbuxi_2026_official,official_d78976853a7ec11c,organizer-provided challenge package,ORGANIZER_PROVIDED,false,organizer
..\interim\challenge_2026_standard_48k_v2\蛙\泽路蛙\泽陆蛙__m4a.wav,fejervarya_multistriata,test,official_source_d9b9bda740f9d8650f4c6d78810382ed5b4dcdb89e6db6616ee8b4ef86058488,official_reference,,,shengshengbuxi_2026_official,official_d9b9bda740f9d865,organizer-provided challenge package,ORGANIZER_PROVIDED,false,organizer
..\interim\challenge_2026_standard_48k_v2\虫\纺织娘\纺织娘__m4a.wav,mecopoda_elongata,test,official_source_4e527673f47a939c960ea794b6ed242dda42278694b9229028f4e5f6f6e16724,official_reference,,,shengshengbuxi_2026_official,official_4e527673f47a939c,organizer-provided challenge package,ORGANIZER_PROVIDED,false,organizer
..\interim\challenge_2026_standard_48k_v2\蛙\饰纹姬蛙\饰纹姬蛙__m4a.wav,microhyla_fissipes,test,official_source_5714868243a18bb30c8d6008c296d948f0d0ab8ca1bdd161d4041e4dfe65a6c4,official_reference,,,shengshengbuxi_2026_official,official_5714868243a18bb3,organizer-provided challenge package,ORGANIZER_PROVIDED,false,organizer
..\interim\challenge_2026_standard_48k_v2\蛙\饰纹姬蛙\饰纹姬蛙__wav.wav,microhyla_fissipes,test,official_source_89389480ac7eb2beab814f7d9864115046ab3a68353d7e3b074f2da74c4301cf,official_reference,,,shengshengbuxi_2026_official,official_89389480ac7eb2be,organizer-provided challenge package,ORGANIZER_PROVIDED,false,organizer
..\interim\challenge_2026_standard_48k_v2\蛙\孟闻琴蛙\孟闻琴蛙__wav.wav,nidirana_mangveni,test,official_source_4f679d930465ee430cc702bce3327a341682a8fcf8e983ad967c62d85727a25f,official_reference,,,shengshengbuxi_2026_official,official_4f679d930465ee43,organizer-provided challenge package,ORGANIZER_PROVIDED,false,organizer
..\interim\challenge_2026_standard_48k_v2\蛙\黑斑侧褶蛙\黑斑侧褶蛙__mp3.wav,pelophylax_nigromaculatus,test,official_source_604bc7b44a698a9de12ba712a9b1508fbd1b0880191b05bbb9cb102e050a4baf,official_reference,,,shengshengbuxi_2026_official,official_604bc7b44a698a9d,organizer-provided challenge package,ORGANIZER_PROVIDED,false,organizer
..\interim\challenge_2026_standard_48k_v2\蛙\黑斑侧褶蛙\黑斑侧褶蛙__wav.wav,pelophylax_nigromaculatus,test,official_source_8b7e9b159e64e296181b7bf86ecc21015ff0a09475a1c914732babed8504519f,official_reference,,,shengshengbuxi_2026_official,official_8b7e9b159e64e296,organizer-provided challenge package,ORGANIZER_PROVIDED,false,organizer
..\interim\challenge_2026_standard_48k_v2\虫\蒙古寒蝉\蒙古寒蝉__m4a.wav,streeyola_mongolica,test,official_source_c07c8364965a92fa50a5f493f459d5fe1890159f451cba87a02920119bd6d8e3,official_reference,,,shengshengbuxi_2026_official,official_c07c8364965a92fa,organizer-provided challenge package,ORGANIZER_PROVIDED,false,organizer
..\interim\challenge_2026_standard_48k_v2\虫\蒙古寒蝉\蒙古寒蝉(1)__m4a.wav,streeyola_mongolica,test,official_source_c3e1bfdde208a12b94fbce6f7325bf584a3e0632039a018808a295bf7cb07e96,official_reference,,,shengshengbuxi_2026_official,official_c3e1bfdde208a12b,organizer-provided challenge package,ORGANIZER_PROVIDED,false,organizer
..\interim\challenge_2026_standard_48k_v2\虫\黄脸油葫芦\黄脸油葫芦__m4a.wav,teleogryllus_emma,test,official_source_4aaae1f7b1bb422686f7dab02934753e6b5bf55104cfed9b7a96b0fc864c5454,official_reference,,,shengshengbuxi_2026_official,official_4aaae1f7b1bb4226,organizer-provided challenge package,ORGANIZER_PROVIDED,false,organizer
..\interim\challenge_2026_standard_48k_v2\虫\迷卡斗蟋\迷卡斗蟋__m4a.wav,velarifictorus_micado,test,official_source_40a74aa318159b39d9f1b9054d7f6593e47e6c51670621c6b63262132facf4f8,official_reference,,,shengshengbuxi_2026_official,official_40a74aa318159b39,organizer-provided challenge package,ORGANIZER_PROVIDED,false,organizer
..\raw\inaturalist\cryptotympana_atrata\inat_298122186_1569296.m4a,cryptotympana_atrata,validation,inaturalist_observation_298122186,source_curated,,,inaturalist,inat_298122186_1569296,https://www.inaturalist.org/observations/298122186,CC0,true,
..\raw\inaturalist\cryptotympana_atrata\inat_299438587_1575197.m4a,cryptotympana_atrata,train,inaturalist_observation_299438587,source_curated,,,inaturalist,inat_299438587_1575197,https://www.inaturalist.org/observations/299438587,CC-BY-NC,false,
..\raw\inaturalist\cryptotympana_atrata\inat_299438587_1575198.m4a,cryptotympana_atrata,train,inaturalist_observation_299438587,source_curated,,,inaturalist,inat_299438587_1575198,https://www.inaturalist.org/observations/299438587,CC-BY-NC,false,
..\raw\inaturalist\cryptotympana_atrata\inat_299781975_1576615.m4a,cryptotympana_atrata,test,inaturalist_observation_299781975,source_curated,,,inaturalist,inat_299781975_1576615,https://www.inaturalist.org/observations/299781975,CC-BY-NC,false,
..\raw\inaturalist\cryptotympana_atrata\inat_301197600_1582376.m4a,cryptotympana_atrata,validation,inaturalist_observation_301197600,source_curated,,,inaturalist,inat_301197600_1582376,https://www.inaturalist.org/observations/301197600,CC-BY-NC,false,
..\raw\inaturalist\cryptotympana_atrata\inat_302789000_1589079.m4a,cryptotympana_atrata,train,inaturalist_observation_302789000,source_curated,,,inaturalist,inat_302789000_1589079,https://www.inaturalist.org/observations/302789000,CC-BY-NC,false,
..\raw\inaturalist\cryptotympana_atrata\inat_303360341_1591683.m4a,cryptotympana_atrata,train,inaturalist_observation_303360341,source_curated,,,inaturalist,inat_303360341_1591683,https://www.inaturalist.org/observations/303360341,CC-BY-NC,false,
..\raw\inaturalist\cryptotympana_atrata\inat_304445501_1596320.m4a,cryptotympana_atrata,train,inaturalist_observation_304445501,source_curated,,,inaturalist,inat_304445501_1596320,https://www.inaturalist.org/observations/304445501,CC-BY-NC,false,
..\raw\inaturalist\cryptotympana_atrata\inat_308757922_1614597.m4a,cryptotympana_atrata,train,inaturalist_observation_308757922,source_curated,,,inaturalist,inat_308757922_1614597,https://www.inaturalist.org/observations/308757922,CC-BY-NC,false,
..\raw\inaturalist\cryptotympana_atrata\inat_373822324_2034025.wav,cryptotympana_atrata,train,inaturalist_observation_373822324,source_curated,,,inaturalist,inat_373822324_2034025,https://www.inaturalist.org/observations/373822324,CC-BY-NC,false,
..\raw\inaturalist\cryptotympana_atrata\inat_376082090_2046617.m4a,cryptotympana_atrata,train,inaturalist_observation_376082090,source_curated,,,inaturalist,inat_376082090_2046617,https://www.inaturalist.org/observations/376082090,CC-BY-NC,false,
..\raw\inaturalist\cryptotympana_atrata\inat_382216635_2075662.mp3,cryptotympana_atrata,train,inaturalist_observation_382216635,source_curated,,,inaturalist,inat_382216635_2075662,https://www.inaturalist.org/observations/382216635,CC-BY-NC,false,
..\raw\inaturalist\fejervarya_multistriata\inat_120498508_463174.m4a,fejervarya_multistriata,validation,inaturalist_observation_120498508,source_curated,,,inaturalist,inat_120498508_463174,https://www.inaturalist.org/observations/120498508,CC-BY-NC,false,
..\raw\inaturalist\fejervarya_multistriata\inat_123221874_480820.m4a,fejervarya_multistriata,train,inaturalist_observation_123221874,source_curated,,,inaturalist,inat_123221874_480820,https://www.inaturalist.org/observations/123221874,CC-BY-NC,false,
..\raw\inaturalist\fejervarya_multistriata\inat_123222060_480822.m4a,fejervarya_multistriata,train,inaturalist_observation_123222060,source_curated,,,inaturalist,inat_123222060_480822,https://www.inaturalist.org/observations/123222060,CC-BY-NC,false,
..\raw\inaturalist\fejervarya_multistriata\inat_166115456_729434.wav,fejervarya_multistriata,train,inaturalist_observation_166115456,source_curated,,,inaturalist,inat_166115456_729434,https://www.inaturalist.org/observations/166115456,CC-BY-NC,false,
..\raw\inaturalist\fejervarya_multistriata\inat_166407253_731575.wav,fejervarya_multistriata,train,inaturalist_observation_166407253,source_curated,,,inaturalist,inat_166407253_731575,https://www.inaturalist.org/observations/166407253,CC-BY-NC,false,
..\raw\inaturalist\fejervarya_multistriata\inat_189653132_839911.wav,fejervarya_multistriata,test,inaturalist_observation_189653132,source_curated,,,inaturalist,inat_189653132_839911,https://www.inaturalist.org/observations/189653132,CC-BY-NC,false,
..\raw\inaturalist\fejervarya_multistriata\inat_240743641_1197181.m4a,fejervarya_multistriata,train,inaturalist_observation_240743641,source_curated,,,inaturalist,inat_240743641_1197181,https://www.inaturalist.org/observations/240743641,CC-BY-NC,false,
..\raw\inaturalist\fejervarya_multistriata\inat_295485199_1556307.mp3,fejervarya_multistriata,train,inaturalist_observation_295485199,source_curated,,,inaturalist,inat_295485199_1556307,https://www.inaturalist.org/observations/295485199,CC-BY-NC,false,
..\raw\inaturalist\fejervarya_multistriata\inat_352278758_1877049.m4a,fejervarya_multistriata,train,inaturalist_observation_352278758,source_curated,,,inaturalist,inat_352278758_1877049,https://www.inaturalist.org/observations/352278758,CC-BY-NC,false,
..\raw\inaturalist\fejervarya_multistriata\inat_364735599_1975889.m4a,fejervarya_multistriata,train,inaturalist_observation_364735599,source_curated,,,inaturalist,inat_364735599_1975889,https://www.inaturalist.org/observations/364735599,CC-BY,true,
..\raw\inaturalist\mecopoda_elongata\inat_172788918_768395.m4a,mecopoda_elongata,train,inaturalist_observation_172788918,source_curated,,,inaturalist,inat_172788918_768395,https://www.inaturalist.org/observations/172788918,CC-BY-NC,false,
..\raw\inaturalist\mecopoda_elongata\inat_62378513_146017.m4a,mecopoda_elongata,validation,inaturalist_observation_62378513,source_curated,,,inaturalist,inat_62378513_146017,https://www.inaturalist.org/observations/62378513,CC-BY-NC,false,
..\raw\inaturalist\microhyla_fissipes\inat_273510901_1400687.m4a,microhyla_fissipes,train,inaturalist_observation_273510901,source_curated,,,inaturalist,inat_273510901_1400687,https://www.inaturalist.org/observations/273510901,CC-BY-NC,false,
..\raw\inaturalist\microhyla_fissipes\inat_280214687_1454867.m4a,microhyla_fissipes,train,inaturalist_observation_280214687,source_curated,,,inaturalist,inat_280214687_1454867,https://www.inaturalist.org/observations/280214687,CC-BY-NC,false,
..\raw\inaturalist\microhyla_fissipes\inat_282348150_1472023.m4a,microhyla_fissipes,train,inaturalist_observation_282348150,source_curated,,,inaturalist,inat_282348150_1472023,https://www.inaturalist.org/observations/282348150,CC-BY-NC,false,
..\raw\inaturalist\microhyla_fissipes\inat_282364032_1472192.m4a,microhyla_fissipes,train,inaturalist_observation_282364032,source_curated,,,inaturalist,inat_282364032_1472192,https://www.inaturalist.org/observations/282364032,CC-BY-NC,false,
..\raw\inaturalist\microhyla_fissipes\inat_287774734_1511647.mpga,microhyla_fissipes,test,inaturalist_observation_287774734,source_curated,,,inaturalist,inat_287774734_1511647,https://www.inaturalist.org/observations/287774734,CC-BY-NC,false,
..\raw\inaturalist\microhyla_fissipes\inat_292043900_1538046.m4a,microhyla_fissipes,test,inaturalist_observation_292043900,source_curated,,,inaturalist,inat_292043900_1538046,https://www.inaturalist.org/observations/292043900,CC-BY-NC,false,
..\raw\inaturalist\microhyla_fissipes\inat_294070067_1548646.m4a,microhyla_fissipes,test,inaturalist_observation_294070067,source_curated,,,inaturalist,inat_294070067_1548646,https://www.inaturalist.org/observations/294070067,CC-BY-NC,false,
..\raw\inaturalist\microhyla_fissipes\inat_294082761_1548720.m4a,microhyla_fissipes,train,inaturalist_observation_294082761,source_curated,,,inaturalist,inat_294082761_1548720,https://www.inaturalist.org/observations/294082761,CC-BY-NC,false,
..\raw\inaturalist\microhyla_fissipes\inat_306160762_1603629.mp3,microhyla_fissipes,test,inaturalist_observation_306160762,source_curated,,,inaturalist,inat_306160762_1603629,https://www.inaturalist.org/observations/306160762,CC-BY-NC,false,
..\raw\inaturalist\microhyla_fissipes\inat_307959565_1611149.mp3,microhyla_fissipes,train,inaturalist_observation_307959565,source_curated,,,inaturalist,inat_307959565_1611149,https://www.inaturalist.org/observations/307959565,CC-BY-NC,false,
..\raw\inaturalist\microhyla_fissipes\inat_318596681_1657228.mp3,microhyla_fissipes,validation,inaturalist_observation_318596681,source_curated,,,inaturalist,inat_318596681_1657228,https://www.inaturalist.org/observations/318596681,CC-BY-NC,false,
..\raw\inaturalist\microhyla_fissipes\inat_354280290_1894119.m4a,microhyla_fissipes,train,inaturalist_observation_354280290,source_curated,,,inaturalist,inat_354280290_1894119,https://www.inaturalist.org/observations/354280290,CC-BY-NC,false,
..\raw\inaturalist\nidirana_mangveni\inat_381053637_2070654.mp3,nidirana_mangveni,train,inaturalist_observation_381053637,source_curated,,,inaturalist,inat_381053637_2070654,https://www.inaturalist.org/observations/381053637,CC-BY-NC,false,
..\raw\inaturalist\nidirana_mangveni\inat_381053908_2070655.mp3,nidirana_mangveni,train,inaturalist_observation_381053908,source_curated,,,inaturalist,inat_381053908_2070655,https://www.inaturalist.org/observations/381053908,CC-BY-NC,false,
..\raw\inaturalist\nidirana_mangveni\inat_381054123_2070657.mp3,nidirana_mangveni,train,inaturalist_observation_381054123,source_curated,,,inaturalist,inat_381054123_2070657,https://www.inaturalist.org/observations/381054123,CC-BY-NC,false,
..\raw\inaturalist\nidirana_mangveni\inat_96244553_309706.wav,nidirana_mangveni,validation,inaturalist_observation_96244553,source_curated,,,inaturalist,inat_96244553_309706,https://www.inaturalist.org/observations/96244553,CC-BY-NC,false,
..\raw\inaturalist\other_frog\inat_376847863_2050502.m4a,other_frog,train,inaturalist_observation_376847863,source_curated,,,inaturalist,inat_376847863_2050502,https://www.inaturalist.org/observations/376847863,CC0,true,
..\raw\inaturalist\other_frog\inat_376848663_2050509.m4a,other_frog,train,inaturalist_observation_376848663,source_curated,,,inaturalist,inat_376848663_2050509,https://www.inaturalist.org/observations/376848663,CC0,true,
..\raw\inaturalist\other_frog\inat_377168154_2055709.wav,other_frog,train,inaturalist_observation_377168154,source_curated,,,inaturalist,inat_377168154_2055709,https://www.inaturalist.org/observations/377168154,CC-BY-NC,false,
..\raw\inaturalist\other_frog\inat_377806290_2055090.m4a,other_frog,test,inaturalist_observation_377806290,source_curated,,,inaturalist,inat_377806290_2055090,https://www.inaturalist.org/observations/377806290,CC0,true,
..\raw\inaturalist\other_frog\inat_377806425_2055093.m4a,other_frog,train,inaturalist_observation_377806425,source_curated,,,inaturalist,inat_377806425_2055093,https://www.inaturalist.org/observations/377806425,CC0,true,
..\raw\inaturalist\other_frog\inat_377806808_2055094.m4a,other_frog,train,inaturalist_observation_377806808,source_curated,,,inaturalist,inat_377806808_2055094,https://www.inaturalist.org/observations/377806808,CC0,true,
..\raw\inaturalist\other_frog\inat_377807746_2055103.m4a,other_frog,validation,inaturalist_observation_377807746,source_curated,,,inaturalist,inat_377807746_2055103,https://www.inaturalist.org/observations/377807746,CC0,true,
..\raw\inaturalist\other_frog\inat_377808765_2055111.m4a,other_frog,train,inaturalist_observation_377808765,source_curated,,,inaturalist,inat_377808765_2055111,https://www.inaturalist.org/observations/377808765,CC0,true,
..\raw\inaturalist\other_frog\inat_381404485_2072097.m4a,other_frog,train,inaturalist_observation_381404485,source_curated,,,inaturalist,inat_381404485_2072097,https://www.inaturalist.org/observations/381404485,CC-BY-NC,false,
..\raw\inaturalist\other_frog\inat_384180199_2084101.wav,other_frog,train,inaturalist_observation_384180199,source_curated,,,inaturalist,inat_384180199_2084101,https://www.inaturalist.org/observations/384180199,CC-BY-NC,false,
