category,species_name_zh,source_path,prepared_path,source_sha256
虫,纺织娘,data/raw/challenge_2026/standard_sounds/虫/纺织娘/纺织娘.m4a,data/interim/challenge_2026_standard_48k_v2/虫/纺织娘/纺织娘__m4a.wav,b93da83120c48cfb2ef2ecb7af37f6becb779d2ee6d6425788d718f438973752
虫,蒙古寒蝉,data/raw/challenge_2026/standard_sounds/虫/蒙古寒蝉/蒙古寒蝉(1).m4a,data/interim/challenge_2026_standard_48k_v2/虫/蒙古寒蝉/蒙古寒蝉(1)__m4a.wav,f24db9b7ddaf1a7bc7883a498336a2a8373d559a937f074bf266cf7f21e0d83c
虫,蒙古寒蝉,data/raw/challenge_2026/standard_sounds/虫/蒙古寒蝉/蒙古寒蝉.m4a,data/interim/challenge_2026_standard_48k_v2/虫/蒙古寒蝉/蒙古寒蝉__m4a.wav,0d0487113ad10794a1a0c229c3503d180bdf7e9750f8fe1be376e7b8cdd69845
虫,迷卡斗蟋,data/raw/challenge_2026/standard_sounds/虫/迷卡斗蟋/迷卡斗蟋.m4a,data/interim/challenge_2026_standard_48k_v2/虫/迷卡斗蟋/迷卡斗蟋__m4a.wav,45a84e9230a52e9ed67f427fbd9d9bc1f3af88b9fa4a4f354de6c2550a31f88e
虫,黄脸油葫芦,data/raw/challenge_2026/standard_sounds/虫/黄脸油葫芦/黄脸油葫芦.m4a,data/interim/challenge_2026_standard_48k_v2/虫/黄脸油葫芦/黄脸油葫芦__m4a.wav,4557d8276dc0788f79f2be7875c2d6b2a4283e18a81a790c6cda2891f15cf75c
虫,黑蚱蝉,data/raw/challenge_2026/standard_sounds/虫/黑蚱蝉/黑蚱蝉(1).m4a,data/interim/challenge_2026_standard_48k_v2/虫/黑蚱蝉/黑蚱蝉(1)__m4a.wav,85a6d1ab28a02b4151998d4ff84bb6077c442450052830c22a6cbb8ae545cdc9
虫,黑蚱蝉,data/raw/challenge_2026/standard_sounds/虫/黑蚱蝉/黑蚱蝉.m4a,data/interim/challenge_2026_standard_48k_v2/虫/黑蚱蝉/黑蚱蝉__m4a.wav,668693af7a937746dc7ca9d9e0f203ad91684139d8b04fa1f41583ef6f6903c4
蛙,孟闻琴蛙,data/raw/challenge_2026/standard_sounds/蛙/孟闻琴蛙/孟闻琴蛙.wav,data/interim/challenge_2026_standard_48k_v2/蛙/孟闻琴蛙/孟闻琴蛙__wav.wav,a7348b5680fa0df83a59a7f1d3b87f27ea87c9369e2d46d41a9f072523cf27cf
蛙,泽路蛙,data/raw/challenge_2026/standard_sounds/蛙/泽路蛙/泽陆蛙.m4a,data/interim/challenge_2026_standard_48k_v2/蛙/泽路蛙/泽陆蛙__m4a.wav,a4b4595fe9148e78a1534c9b336a5cbec446552a1a76d12884009a42d84d5ce6
蛙,泽路蛙,data/raw/challenge_2026/standard_sounds/蛙/泽路蛙/泽陆蛙.wav,data/interim/challenge_2026_standard_48k_v2/蛙/泽路蛙/泽陆蛙__wav.wav,ee14ecabb17b8e5d8a8facddb30169383c8023c4203511389b454cc1a96d2bf1
