detection_id,recording_id,period,captured_at,local_path,relative_path,start_seconds,end_seconds,taxon_id,name_zh,scientific_name,birdnet_label,confidence,review_status,reviewer,review_notes
challenge_a14655c56ec1784d846a_pycnonotus_sinensis_00003000,challenge_a14655c56ec1784d846a,2026A 0116-0122,2026-01-16T12:00:05,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026A 0116-0122\AAA001_20260116_120005.wav,2026A 0116-0122/AAA001_20260116_120005.wav,3.0,6.0,pycnonotus_sinensis,白头鹎,Pycnonotus sinensis,Pycnonotus sinensis_Light-vented Bulbul,0.061846,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_a14655c56ec1784d846a_pycnonotus_sinensis_00021000,challenge_a14655c56ec1784d846a,2026A 0116-0122,2026-01-16T12:00:05,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026A 0116-0122\AAA001_20260116_120005.wav,2026A 0116-0122/AAA001_20260116_120005.wav,21.0,24.0,pycnonotus_sinensis,白头鹎,Pycnonotus sinensis,Pycnonotus sinensis_Light-vented Bulbul,0.057022,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_a14655c56ec1784d846a_pycnonotus_sinensis_00024000,challenge_a14655c56ec1784d846a,2026A 0116-0122,2026-01-16T12:00:05,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026A 0116-0122\AAA001_20260116_120005.wav,2026A 0116-0122/AAA001_20260116_120005.wav,24.0,27.0,pycnonotus_sinensis,白头鹎,Pycnonotus sinensis,Pycnonotus sinensis_Light-vented Bulbul,0.154464,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_a14655c56ec1784d846a_pycnonotus_sinensis_00030000,challenge_a14655c56ec1784d846a,2026A 0116-0122,2026-01-16T12:00:05,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026A 0116-0122\AAA001_20260116_120005.wav,2026A 0116-0122/AAA001_20260116_120005.wav,30.0,33.0,pycnonotus_sinensis,白头鹎,Pycnonotus sinensis,Pycnonotus sinensis_Light-vented Bulbul,0.058005,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_a14655c56ec1784d846a_pycnonotus_sinensis_00039000,challenge_a14655c56ec1784d846a,2026A 0116-0122,2026-01-16T12:00:05,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026A 0116-0122\AAA001_20260116_120005.wav,2026A 0116-0122/AAA001_20260116_120005.wav,39.0,42.0,pycnonotus_sinensis,白头鹎,Pycnonotus sinensis,Pycnonotus sinensis_Light-vented Bulbul,0.106088,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_a14655c56ec1784d846a_pycnonotus_sinensis_00042000,challenge_a14655c56ec1784d846a,2026A 0116-0122,2026-01-16T12:00:05,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026A 0116-0122\AAA001_20260116_120005.wav,2026A 0116-0122/AAA001_20260116_120005.wav,42.0,45.0,pycnonotus_sinensis,白头鹎,Pycnonotus sinensis,Pycnonotus sinensis_Light-vented Bulbul,0.122788,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_a14655c56ec1784d846a_pycnonotus_sinensis_00045000,challenge_a14655c56ec1784d846a,2026A 0116-0122,2026-01-16T12:00:05,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026A 0116-0122\AAA001_20260116_120005.wav,2026A 0116-0122/AAA001_20260116_120005.wav,45.0,48.0,pycnonotus_sinensis,白头鹎,Pycnonotus sinensis,Pycnonotus sinensis_Light-vented Bulbul,0.120305,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_a14655c56ec1784d846a_pycnonotus_sinensis_00048000,challenge_a14655c56ec1784d846a,2026A 0116-0122,2026-01-16T12:00:05,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026A 0116-0122\AAA001_20260116_120005.wav,2026A 0116-0122/AAA001_20260116_120005.wav,48.0,51.0,pycnonotus_sinensis,白头鹎,Pycnonotus sinensis,Pycnonotus sinensis_Light-vented Bulbul,0.096062,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_a14655c56ec1784d846a_pycnonotus_sinensis_00054000,challenge_a14655c56ec1784d846a,2026A 0116-0122,2026-01-16T12:00:05,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026A 0116-0122\AAA001_20260116_120005.wav,2026A 0116-0122/AAA001_20260116_120005.wav,54.0,57.0,pycnonotus_sinensis,白头鹎,Pycnonotus sinensis,Pycnonotus sinensis_Light-vented Bulbul,0.083238,pending,,BirdNET候选；人工回听前不作为物种事实。
challenge_a14655c56ec1784d846a_pycnonotus_sinensis_00057000,challenge_a14655c56ec1784d846a,2026A 0116-0122,2026-01-16T12:00:05,E:\tmp\生声不息AI挑战资料\2026_07_31_生声不息AI挑战说明\2026A 0116-0122\AAA001_20260116_120005.wav,2026A 0116-0122/AAA001_20260116_120005.wav,57.0,60.0,pycnonotus_sinensis,白头鹎,Pycnonotus sinensis,Pycnonotus sinensis_Light-vented Bulbul,0.067941,pending,,BirdNET候选；人工回听前不作为物种事实。
