audio_format,audio_subtype,background_labels,birdnet_max_confidence,birdnet_top_species,bytes,category,category_name_zh,channels,clipping_sample_fraction,codec_stderr,contains_speech,contains_target_species,current_path,dataset_key,decode_status,duration_seconds,filename,frames,human_contains_speech,human_contains_target_species,human_final_class,human_review_notes,human_reviewed_at,human_reviewer,human_valid_intervals,indexed_at,item_id,label_basis,license,license_code,local_path,mixture_hint,name,peak_dbfs,primary_label_weak,privacy_risk,provisional_class,quality_flag,quality_read_error,read_error,recording_id,review_notes,review_priority,review_reasons,review_recommendation,review_status,reviewed_primary_label,rms_dbfs,samplerate,sha256,silent_block_fraction,source,source_id,source_url,suffix,valid_intervals
MP3,MPEG_LAYER_III,,0.0,,66836,existing_species_recording,既有物种录音,2,0.0,,unchecked,filename_positive_birdnet_not_confirmed,D:\C\Desktop\ai\xykw\data\XC1136969 - 乌鸫 - Turdus mandarinus.mp3,existing,ok,2.5045,XC1136969 - 乌鸫 - Turdus mandarinus.mp3,120216,,,,,,,,2026-07-31T08:36:44.716387+00:00,existing_d0c22dbaa829_60e8fe2f,filename_xeno_canto,,UNKNOWN,D:\C\Desktop\ai\xykw\data\XC1136969 - 乌鸫 - Turdus mandarinus.mp3,False,XC1136969 - 乌鸫 - Turdus mandarinus.mp3,-34.109,乌鸫,unknown_needs_listening,positive_species_candidate,very_quiet_review,,,XC1136969 - 乌鸫 - Turdus mandarinus,,1,core_species_positive_candidate|birdnet_did_not_confirm_filename_label,listen_before_accept_or_reject,machine_labeled_needs_listening,,-50.789,48000,d0c22dbaa829f5de872ff889a8066e876cf47bdebe4229093cee7770372d48c3,0.769231,xeno_canto,XC1136969,,.mp3,
MP3,MPEG_LAYER_III,,0.295841,乌鸫,2876009,existing_species_recording,既有物种录音,2,0.0,,unchecked,birdnet_supports_filename_needs_listening,D:\C\Desktop\ai\xykw\data\XC1136970 - 乌鸫 - Turdus mandarinus.mp3,existing,ok,119.561917,XC1136970 - 乌鸫 - Turdus mandarinus.mp3,5738972,,,,,,,,2026-07-31T08:36:44.716387+00:00,existing_a38974203003_05e17d45,filename_xeno_canto,,UNKNOWN,D:\C\Desktop\ai\xykw\data\XC1136970 - 乌鸫 - Turdus mandarinus.mp3,False,XC1136970 - 乌鸫 - Turdus mandarinus.mp3,-9.778,乌鸫,unknown_needs_listening,positive_species_candidate,usable_level_candidate,,,XC1136970 - 乌鸫 - Turdus mandarinus,,1,core_species_positive_candidate,listen_before_accept_or_reject,machine_labeled_needs_listening,,-39.089,48000,a389742030032de7763652e5938b9bebe95a68dbcd9a7516b490a819742e5646,0.621237,xeno_canto,XC1136970,,.mp3,
MP3,MPEG_LAYER_III,,0.0,,482389,existing_species_recording,既有物种录音,2,0.0,,unchecked,filename_positive_birdnet_not_confirmed,D:\C\Desktop\ai\xykw\data\XC1147853 - 乌鸫 - Turdus mandarinus.mp3,existing,ok,30.084979,XC1147853 - 乌鸫 - Turdus mandarinus.mp3,1444079,,,,,,,,2026-07-31T08:36:44.716387+00:00,existing_f25ecbc90288_c2504749,filename_xeno_canto,,UNKNOWN,D:\C\Desktop\ai\xykw\data\XC1147853 - 乌鸫 - Turdus mandarinus.mp3,False,XC1147853 - 乌鸫 - Turdus mandarinus.mp3,-1.226,乌鸫,unknown_needs_listening,positive_species_candidate,usable_level_candidate,,,XC1147853 - 乌鸫 - Turdus mandarinus,,1,core_species_positive_candidate|birdnet_did_not_confirm_filename_label,listen_before_accept_or_reject,machine_labeled_needs_listening,,-30.841,48000,f25ecbc90288f0deacaccfaacee449d6d20cf1e7550d0c704ac70bb47511e861,0.282392,xeno_canto,XC1147853,,.mp3,
WAV,PCM_24,,0.0,珠颈斑鸠,15177934,existing_species_recording,既有物种录音,2,0.0,,unchecked,non_core_species_filename,D:\C\Desktop\ai\xykw\data\260110_1015——古铜色卷尾——看见，背景里有黑头穗鹛&白喉扇尾鹟&珠颈斑鸠.wav,existing,ok,52.686937,260110_1015——古铜色卷尾——看见，背景里有黑头穗鹛&白喉扇尾鹟&珠颈斑鸠.wav,2528973,,,,,,,,2026-07-31T08:36:44.716387+00:00,existing_76b2bb8bf0fa_63839512,filename_local,,UNKNOWN,D:\C\Desktop\ai\xykw\data\260110_1015——古铜色卷尾——看见，背景里有黑头穗鹛&白喉扇尾鹟&珠颈斑鸠.wav,True,260110_1015——古铜色卷尾——看见，背景里有黑头穗鹛&白喉扇尾鹟&珠颈斑鸠.wav,-1.067,古铜色卷尾,unknown_needs_listening,mixed_species_review,usable_level_candidate,,,260110_1015——古铜色卷尾——看见，背景里有黑头穗鹛&白喉扇尾鹟&珠颈斑鸠,,1,filename_indicates_mixed_species|license_and_origin_check,listen_before_accept_or_reject,machine_labeled_needs_listening,,-27.781,48000,76b2bb8bf0fab7d1e847944fb63c16fdeed7e1ced049b1f48a90e943df17e38e,0.01518,local_or_shared,,,.wav,
WAV,PCM_24,,0.0,,41767326,existing_species_recording,既有物种录音,2,0.0,,unchecked,non_core_species_filename,D:\C\Desktop\ai\xykw\data\XC1145570 - 小䴙䴘 - Tachybaptus ruficollis poggei (1)(1).wav,existing,ok,145.0,XC1145570 - 小䴙䴘 - Tachybaptus ruficollis poggei (1)(1).wav,6960000,,,,,,,,2026-07-31T08:36:44.716387+00:00,existing_d1b4b43ea30f_f03cea5a,filename_xeno_canto,,UNKNOWN,D:\C\Desktop\ai\xykw\data\XC1145570 - 小䴙䴘 - Tachybaptus ruficollis poggei (1)(1).wav,False,XC1145570 - 小䴙䴘 - Tachybaptus ruficollis poggei (1)(1).wav,-3.0,小䴙䴘,unknown_needs_listening,positive_species_candidate,usable_level_candidate,,,XC1145570 - 小䴙䴘 - Tachybaptus ruficollis poggei (1)(1),,1,exact_duplicate_content,listen_before_accept_or_reject,machine_labeled_needs_listening,,-34.115,48000,d1b4b43ea30f292269c06aff3ca681993cd1a25f8be299ae5ddae3e0591bed06,0.013793,xeno_canto,XC1145570,,.wav,
WAV,PCM_24,,0.0,,41767326,existing_species_recording,既有物种录音,2,0.0,,unchecked,non_core_species_filename,D:\C\Desktop\ai\xykw\data\XC1145570 - 小䴙䴘 - Tachybaptus ruficollis poggei(1).wav,existing,ok,145.0,XC1145570 - 小䴙䴘 - Tachybaptus ruficollis poggei(1).wav,6960000,,,,,,,,2026-07-31T08:36:44.716387+00:00,existing_d1b4b43ea30f_e717a362,filename_xeno_canto,,UNKNOWN,D:\C\Desktop\ai\xykw\data\XC1145570 - 小䴙䴘 - Tachybaptus ruficollis poggei(1).wav,False,XC1145570 - 小䴙䴘 - Tachybaptus ruficollis poggei(1).wav,-3.0,小䴙䴘,unknown_needs_listening,positive_species_candidate,usable_level_candidate,,,XC1145570 - 小䴙䴘 - Tachybaptus ruficollis poggei(1),,1,exact_duplicate_content,listen_before_accept_or_reject,machine_labeled_needs_listening,,-34.115,48000,d1b4b43ea30f292269c06aff3ca681993cd1a25f8be299ae5ddae3e0591bed06,0.013793,xeno_canto,XC1145570,,.wav,
WAV,PCM_24,,0.0,,35442342,existing_species_recording,既有物种录音,2,0.0,,unchecked,non_core_species_filename,D:\C\Desktop\ai\xykw\data\260705_1905——棕胸雅鹛——二重奏，看见，至少包含四种叫声.wav,existing,ok,123.034292,260705_1905——棕胸雅鹛——二重奏，看见，至少包含四种叫声.wav,5905646,,,,,,,,2026-07-31T08:36:44.716387+00:00,existing_0afd773d2037_71021d81,filename_local,,UNKNOWN,D:\C\Desktop\ai\xykw\data\260705_1905——棕胸雅鹛——二重奏，看见，至少包含四种叫声.wav,True,260705_1905——棕胸雅鹛——二重奏，看见，至少包含四种叫声.wav,-2.1,棕胸雅鹛,unknown_needs_listening,mixed_species_review,usable_level_candidate,,,260705_1905——棕胸雅鹛——二重奏，看见，至少包含四种叫声,,1,filename_indicates_mixed_species|license_and_origin_check,listen_before_accept_or_reject,machine_labeled_needs_listening,,-26.396,48000,0afd773d2037f8c1b324b2ff2781b8b00e328a1ed99e56f3d6dc327fb001eb60,0.0,local_or_shared,,,.wav,
WAV,PCM_16,,0.0,,11522630,existing_species_recording,既有物种录音,2,0.0,,unchecked,non_core_species_filename,D:\C\Desktop\ai\xykw\data\MLU-NF1A_20250401_074200——灰孔雀雉——背景里有橙胸咬鹃.wav,existing,ok,60.0,MLU-NF1A_20250401_074200——灰孔雀雉——背景里有橙胸咬鹃.wav,2880000,,,,,,,,2026-07-31T08:36:44.716387+00:00,existing_0a26af81fd16_213774b6,filename_local,,UNKNOWN,D:\C\Desktop\ai\xykw\data\MLU-NF1A_20250401_074200——灰孔雀雉——背景里有橙胸咬鹃.wav,True,MLU-NF1A_20250401_074200——灰孔雀雉——背景里有橙胸咬鹃.wav,-17.707,灰孔雀雉,unknown_needs_listening,mixed_species_review,usable_level_candidate,,,MLU-NF1A_20250401_074200——灰孔雀雉——背景里有橙胸咬鹃,,1,filename_indicates_mixed_species|license_and_origin_check,listen_before_accept_or_reject,machine_labeled_needs_listening,,-26.017,48000,0a26af81fd16e062ddaef353967b0dd2cda92ad705e78e6c33b98c84a5a343ef,0.0,local_or_shared,,,.wav,
WAV,PCM_24,,0.99631,珠颈斑鸠,37981086,existing_species_recording,既有物种录音,2,0.0,,unchecked,birdnet_supports_filename_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,existing,ok,131.858042,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,6329186,,,,,,,,2026-07-31T08:36:44.716387+00:00,existing_9a577cf6614f_cc43198f,filename_xeno_canto,,UNKNOWN,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,False,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,-3.05,珠颈斑鸠,unknown_needs_listening,positive_species_candidate,usable_level_candidate,,,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),,1,core_species_positive_candidate,listen_before_accept_or_reject,machine_labeled_needs_listening,,-24.154,48000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,0.021228,xeno_canto,XC1002930,,.wav,
WAV,PCM_24,,0.796386,珠颈斑鸠,9797632,existing_species_recording,既有物种录音,2,0.0,,unchecked,birdnet_supports_filename_needs_listening,D:\C\Desktop\ai\xykw\data\XC961570 - 珠颈斑鸠 - Spilopelia chinensis.wav,existing,ok,17.002667,XC961570 - 珠颈斑鸠 - Spilopelia chinensis.wav,1632256,,,,,,,,2026-07-31T08:36:44.716387+00:00,existing_237616fbbc57_7351034d,filename_xeno_canto,,UNKNOWN,D:\C\Desktop\ai\xykw\data\XC961570 - 珠颈斑鸠 - Spilopelia chinensis.wav,False,XC961570 - 珠颈斑鸠 - Spilopelia chinensis.wav,-12.707,珠颈斑鸠,unknown_needs_listening,positive_species_candidate,very_quiet_review,,,XC961570 - 珠颈斑鸠 - Spilopelia chinensis,,1,core_species_positive_candidate,listen_before_accept_or_reject,machine_labeled_needs_listening,,-53.772,96000,237616fbbc571e0c633b2dce937d7848c211f8e02b570bfcd52c6f10b3f00135,0.94152,xeno_canto,XC961570,,.wav,
