freesound_id,local_path,decode_status,return_code,codec_stderr,expected_duration_seconds,decoded_duration_seconds,duration_delta_seconds,samplerate,channels
260726,data\raw\freesound\previews\distant_traffic\freesound_260726.mp3,ok,0,,45.388800,45.388821,0.000021,44100,2
269375,data\raw\freesound\previews\distant_traffic\freesound_269375.mp3,ok,0,,35.217000,35.217021,0.000021,48000,2
459464,data\raw\freesound\previews\distant_traffic\freesound_459464.mp3,ok,0,,26.000000,26.000000,0.000000,48000,2
569176,data\raw\freesound\previews\distant_traffic\freesound_569176.mp3,ok,0,,45.554600,45.554649,0.000049,44100,2
680627,data\raw\freesound\previews\distant_traffic\freesound_680627.mp3,ok,0,,29.641900,29.641938,0.000038,48000,2
776260,data\raw\freesound\previews\distant_traffic\freesound_776260.mp3,ok,0,,95.900000,95.900000,0.000000,48000,1
818390,data\raw\freesound\previews\distant_traffic\freesound_818390.mp3,ok,0,,102.000000,102.000000,0.000000,48000,2
838794,data\raw\freesound\previews\distant_traffic\freesound_838794.mp3,ok,0,,6.078670,6.078667,-0.000003,48000,1
846302,data\raw\freesound\previews\distant_traffic\freesound_846302.mp3,ok,0,,25.507500,25.507521,0.000021,48000,2
860931,data\raw\freesound\previews\distant_traffic\freesound_860931.mp3,ok,0,,55.909100,55.909083,-0.000017,48000,2
244311,data\raw\freesound\previews\non_target_soundscape\freesound_244311.mp3,ok,0,,49.676400,49.676396,-0.000004,48000,2
262691,data\raw\freesound\previews\non_target_soundscape\freesound_262691.mp3,ok,0,,90.999500,90.999478,-0.000022,44100,2
459121,data\raw\freesound\previews\non_target_soundscape\freesound_459121.mp3,ok,0,,70.232800,70.232833,0.000033,48000,2
578150,data\raw\freesound\previews\non_target_soundscape\freesound_578150.mp3,ok,0,,59.625000,59.625000,0.000000,48000,2
745236,data\raw\freesound\previews\non_target_soundscape\freesound_745236.mp3,ok,0,,108.067000,108.067479,0.000479,48000,2
840818,data\raw\freesound\previews\non_target_soundscape\freesound_840818.mp3,ok,0,,64.649700,64.649729,0.000029,48000,2
850102,data\raw\freesound\previews\non_target_soundscape\freesound_850102.mp3,ok,0,,39.000000,39.000000,0.000000,48000,2
850131,data\raw\freesound\previews\non_target_soundscape\freesound_850131.mp3,ok,0,,79.000000,79.000000,0.000000,48000,2
850139,data\raw\freesound\previews\non_target_soundscape\freesound_850139.mp3,ok,0,,120.000000,120.000000,0.000000,48000,2
860702,data\raw\freesound\previews\non_target_soundscape\freesound_860702.mp3,ok,0,,16.000000,16.000000,0.000000,48000,2
376809,data\raw\freesound\previews\people_footsteps\freesound_376809.mp3,ok,0,,46.117200,46.117188,-0.000012,48000,2
