attribution_required,attribution_text,birdnet_max_confidence,birdnet_target_detections,category,category_name_zh,clipping_sample_fraction,collector_note,commercial_compatible,contains_speech,contains_target_species,downloaded_at,duration_seconds,freesound_id,human_contains_speech,human_contains_target_species,human_final_class,human_review_notes,human_reviewed_at,human_reviewer,human_valid_intervals,intended_use,label_source,license,license_code,license_label,local_path,metadata_bird_terms,metadata_speech_terms,name,num_downloads,peak_dbfs,preview_kind,preview_sha256,preview_url,privacy_risk,provisional_class,quality_flag,quality_read_error,query,review_notes,review_status,reviewed_class,rms_dbfs,samplerate,silent_block_fraction,sound_url,source,tags,username,valid_intervals
True,outdoor ambience by daenerys (CC-BY),0.0,,distant_traffic,远处交通,0.0,Public HTML fallback; metadata must be rechecked before publication.,True,unlikely,no_strong_birdnet_evidence,2026-07-31T08:59:56.583534+00:00,45.3888,260726,,,,,,,,background,category_title_tags_heuristic,https://creativecommons.org/licenses/by/4.0/,CC-BY,Attribution 4.0,data\raw\freesound\previews\distant_traffic\freesound_260726.mp3,birds,,outdoor ambience,3285,-18.285,hq-mp3,3c1fb7eb6782397d3758aaa353298e05c8dcc492d06b6acba706a4bb811f0eb1,https://cdn.freesound.org/previews/260/260726_1571715-hq.mp3,low,background_candidate,very_quiet_review,,distant traffic outdoor ambience field-recording -music -loop,,machine_labeled_needs_listening,,-46.997,44100.0,0.004405,https://freesound.org/s/260726/,freesound_public_web,ambience|birds|city|construction|field-recording|nature|outdoors|traffic,daenerys,
True,outdoor ambience city quiet distant birds traffic.wav by lwdickens (CC-BY-NC),0.0,,distant_traffic,远处交通,0.0,Public HTML fallback; metadata must be rechecked before publication.,False,unlikely,no_strong_birdnet_evidence,2026-07-31T09:01:32.410883+00:00,35.217,269375,,,,,,,,background,category_title_tags_heuristic,https://creativecommons.org/licenses/by-nc/4.0/,CC-BY-NC,Attribution NonCommercial 4.0,data\raw\freesound\previews\distant_traffic\freesound_269375.mp3,birds,,outdoor ambience city quiet distant birds traffic.wav,1167,-20.367,hq-mp3,62c5f1254e483e4110b05eff6494346d30dd7de6cf33b2785515f298827565a3,https://cdn.freesound.org/previews/269/269375_2663250-hq.mp3,low,background_candidate,usable_level_candidate,,distant traffic outdoor ambience field-recording -music -loop,,machine_labeled_needs_listening,,-42.117,48000.0,0.0,https://freesound.org/s/269375/,freesound_public_web,ambiance|birds|cars|city|traffic,lwdickens,
False,"Ambience - outdoors at night, suburban, with crickets.wav by jodybruchon (CC0)",0.0,,distant_traffic,远处交通,0.0,Public HTML fallback; metadata must be rechecked before publication.,True,unlikely,no_strong_birdnet_evidence,2026-07-31T09:00:14.367723+00:00,26.0,459464,,,,,,,,background,category_title_tags_heuristic,http://creativecommons.org/publicdomain/zero/1.0/,CC0,Creative Commons 0,data\raw\freesound\previews\distant_traffic\freesound_459464.mp3,,,"Ambience - outdoors at night, suburban, with crickets.wav",359,-3.335,hq-mp3,1658cb4cdd34ec1ea3941b370c77dd4beb09d52a2b1c2b6d42455aafbc9d84a7,https://cdn.freesound.org/previews/459/459464_7872308-hq.mp3,low,background_candidate,usable_level_candidate,,distant traffic outdoor ambience field-recording -music -loop,,machine_labeled_needs_listening,,-21.753,96000.0,0.0,https://freesound.org/s/459464/,freesound_public_web,ambiance|ambience|ambient|background-sound|crickets|field-recording|foley|general-noise|nature|night|outdoors|suburban,jodybruchon,
False,Forest Next to Highway by TravieDoodle (CC0),0.0,,distant_traffic,远处交通,0.0,Public HTML fallback; metadata must be rechecked before publication.,True,unlikely,no_strong_birdnet_evidence,2026-07-31T08:59:34.485302+00:00,45.5546,569176,,,,,,,,background,category_title_tags_heuristic,http://creativecommons.org/publicdomain/zero/1.0/,CC0,Creative Commons 0,data\raw\freesound\previews\distant_traffic\freesound_569176.mp3,,,Forest Next to Highway,113,-6.699,hq-mp3,6f6016b0b36e9d4b04681c2a329dc1669bb853bea76ec2d9e63bd95118784cc1,https://cdn.freesound.org/previews/569/569176_6637516-hq.mp3,low,background_candidate,usable_level_candidate,,distant traffic outdoor ambience field-recording -music -loop,,machine_labeled_needs_listening,,-32.096,44100.0,0.0,https://freesound.org/s/569176/,freesound_public_web,ambience|cars|field-recording|forest|highway|nature|outdoor|outside|road|traffic,TravieDoodle,
False,Central Heating Boiler Outdoor Hum.wav by ID_23 (CC0),0.0,,distant_traffic,远处交通,0.0,Public HTML fallback; metadata must be rechecked before publication.,True,unlikely,no_strong_birdnet_evidence,2026-07-31T09:01:09.682306+00:00,29.6419,680627,,,,,,,,background,category_title_tags_heuristic,http://creativecommons.org/publicdomain/zero/1.0/,CC0,Creative Commons 0,data\raw\freesound\previews\distant_traffic\freesound_680627.mp3,,,Central Heating Boiler Outdoor Hum.wav,21,-20.834,hq-mp3,7d7f92da951dff7dde1639943b0f7d2aefbca901010337edafe94a000594e8f3,https://cdn.freesound.org/previews/680/680627_2582565-hq.mp3,low,background_candidate,usable_level_candidate,,distant traffic outdoor ambience field-recording -music -loop,,machine_labeled_needs_listening,,-38.23,48000.0,0.0,https://freesound.org/s/680627/,freesound_public_web,Urban|ambience|central-heating|city|field-recording|noise,ID_23,
False,"AMB-Night,Distant Traffic,3AM, Lusofona University, Lisbon, Portugal by soundandmelodies (CC0)",0.0,,distant_traffic,远处交通,0.0,Public HTML fallback; metadata must be rechecked before publication.,True,unlikely,no_strong_birdnet_evidence,2026-07-31T09:00:51.286116+00:00,95.9,776260,,,,,,,,background,category_title_tags_heuristic,http://creativecommons.org/publicdomain/zero/1.0/,CC0,Creative Commons 0,data\raw\freesound\previews\distant_traffic\freesound_776260.mp3,,,"AMB-Night,Distant Traffic,3AM, Lusofona University, Lisbon, Portugal",21,-13.161,hq-mp3,5e26de418c6a03b18b182a0399793cf01e92336af33f54fc15d56759414c3284,https://cdn.freesound.org/previews/776/776260_10924423-hq.mp3,low,background_candidate,usable_level_candidate,,distant traffic outdoor ambience field-recording -music -loop,,machine_labeled_needs_listening,,-39.525,48000.0,0.061522,https://freesound.org/s/776260/,freesound_public_web,AMB|Distant|Lisbon|Morning|Night|Portugal|Traffic,soundandmelodies,
False,Street Village Ambience on a Summer Windy Day by sounds_from_palestine (CC0),0.0,,distant_traffic,远处交通,0.0,Public HTML fallback; metadata must be rechecked before publication.,True,unlikely,no_strong_birdnet_evidence,2026-07-31T08:59:08.364025+00:00,102.0,818390,,,,,,,,background,category_title_tags_heuristic,http://creativecommons.org/publicdomain/zero/1.0/,CC0,Creative Commons 0,data\raw\freesound\previews\distant_traffic\freesound_818390.mp3,birds,,Street Village Ambience on a Summer Windy Day,196,-2.416,hq-mp3,e23336646173ebf400f6087a7d37c5d50441e39d627d25fd7a4788110dbb720a,https://cdn.freesound.org/previews/818/818390_17247322-hq.mp3,low,background_candidate,usable_level_candidate,,distant traffic outdoor ambience field-recording -music -loop,,machine_labeled_needs_listening,,-38.768,48000.0,0.008824,https://freesound.org/s/818390/,freesound_public_web,ambience|background|birds|car|celebration|environment|explosion|field-recording|fireworks|hiss|middle-east|noise|outdoor|palestine|pump|rural|soundscape|street|summer|tawjihi|traffic|village|water|windy,sounds_from_palestine,
False,Bus 26 by claravinleb (CC0),0.0,,distant_traffic,远处交通,0.0,Public HTML fallback; metadata must be rechecked before publication.,True,unlikely,no_strong_birdnet_evidence,2026-07-31T09:01:46.970861+00:00,6.07867,838794,,,,,,,,background,category_title_tags_heuristic,http://creativecommons.org/publicdomain/zero/1.0/,CC0,Creative Commons 0,data\raw\freesound\previews\distant_traffic\freesound_838794.mp3,,,Bus 26,13,-1.295,hq-mp3,93e7d1bfb220c20e2b22316b9889cb5b9167019536de353ff057cb51cdd2b393,https://cdn.freesound.org/previews/838/838794_18264704-hq.mp3,low,background_candidate,usable_level_candidate,,distant traffic outdoor ambience field-recording -music -loop,,machine_labeled_needs_listening,,-17.857,48000.0,0.0,https://freesound.org/s/838794/,freesound_public_web,bus|transportation|vehicle,claravinleb,
False,"Altenthann – Isolated Bavarian Church Bell at Distance (300 m, Open Window, Post‑Rain Ambience) - 260224_002 by TSP-Talk (CC0)",0.0,,distant_traffic,远处交通,0.0,Public HTML fallback; metadata must be rechecked before publication.,True,unlikely,no_strong_birdnet_evidence,2026-07-31T08:49:52.093358+00:00,25.5075,846302,,,,,,,,background,category_title_tags_heuristic,http://creativecommons.org/publicdomain/zero/1.0/,CC0,Creative Commons 0,data\raw\freesound\previews\distant_traffic\freesound_846302.mp3,,,"Altenthann – Isolated Bavarian Church Bell at Distance (300 m, Open Window, Post‑Rain Ambience) - 260224_002",43,-13.815,hq-mp3,71138c0b8378927f9d92a2cd666ca695766be5d96271b67d5d45a9d053f22730,https://cdn.freesound.org/previews/846/846302_14079354-hq.mp3,low,background_candidate,usable_level_candidate,,distant traffic outdoor ambience field-recording -music -loop,,machine_labeled_needs_listening,,-37.305,48000.0,0.050781,https://freesound.org/s/846302/,freesound_public_web,300m|32bit|48khz|altenthann|ambience|bavaria|bell|campanology|church-bell|distance|earthside|environment|germany|harmonic|jecklin-disc|natural|omni|open-window|outdoor|post-rain|quiet|regensburg|religious|residential|resonance|rural|soundscape|village|winter|zoom-f3,TSP-Talk,
False,Light Rain on a Terrace in a Quiet Residential Neighborhood by artemditkovsky (CC0),0.0,,distant_traffic,远处交通,0.0,Public HTML fallback; metadata must be rechecked before publication.,True,unlikely,no_strong_birdnet_evidence,2026-07-31T09:02:15.078798+00:00,55.9091,860931,,,,,,,,background,category_title_tags_heuristic,http://creativecommons.org/publicdomain/zero/1.0/,CC0,Creative Commons 0,data\raw\freesound\previews\distant_traffic\freesound_860931.mp3,,,Light Rain on a Terrace in a Quiet Residential Neighborhood,12,-23.69,hq-mp3,6c15d2db06e606883be9d62a419f579986265b711d71bd1f960065d386ca793b,https://cdn.freesound.org/previews/860/860931_9079786-hq.mp3,low,background_candidate,very_quiet_review,,distant traffic outdoor ambience field-recording -music -loop,,machine_labeled_needs_listening,,-47.026,48000.0,0.023214,https://freesound.org/s/860931/,freesound_public_web,atmosphere|raindrops|rainfall|relaxation|residential|terrace|urban,artemditkovsky,
False,Exterior Ambiance Parking Lot with birds.wav by JohnsonBrandEditing (CC0),0.0,,non_target_soundscape,非目标动物与混合声景,0.0,Public HTML fallback; metadata must be rechecked before publication.,True,unlikely,no_strong_birdnet_evidence,2026-07-31T09:17:23.861569+00:00,49.6764,244311,,,,,,,,unknown_or_mixed_review,category_title_tags_heuristic,http://creativecommons.org/publicdomain/zero/1.0/,CC0,Creative Commons 0,data\raw\freesound\previews\non_target_soundscape\freesound_244311.mp3,birds,,Exterior Ambiance Parking Lot with birds.wav,1282,-8.699,hq-mp3,7a482aa2c76cf18b3c5bd17c97690610d1dc1a5293a1ba6826f52fc676d9cc75,https://cdn.freesound.org/previews/244/244311_3229685-hq.mp3,low,mixed_or_unknown_candidate,usable_level_candidate,,urban park birds ambience field-recording -music -synthetic,,machine_labeled_needs_listening,,-31.804,48000.0,0.008048,https://freesound.org/s/244311/,freesound_public_web,Ambiance|Ambience|Birds|Exterior|Public|auto|car|cars|lot|parking|urban,JohnsonBrandEditing,
