attribution_required,attribution_text,birdnet_max_confidence,birdnet_target_detections,category,category_name_zh,clipping_sample_fraction,codec_stderr,collector_note,commercial_compatible,contains_speech,contains_target_species,dataset_key,decode_status,downloaded_at,duration_seconds,freesound_id,human_contains_speech,human_contains_target_species,human_final_class,human_review_notes,human_reviewed_at,human_reviewer,human_valid_intervals,intended_use,item_id,label_source,license,license_code,license_label,local_path,metadata_bird_terms,metadata_speech_terms,name,num_downloads,peak_dbfs,preview_kind,preview_sha256,preview_url,privacy_risk,provisional_class,quality_flag,quality_read_error,query,review_notes,review_priority,review_reasons,review_recommendation,review_status,reviewed_class,rms_dbfs,samplerate,silent_block_fraction,sound_url,source,tags,username,valid_intervals
False,Street Village Ambience on a Summer Windy Day by sounds_from_palestine (CC0),0.0,,distant_traffic,远处交通,0.0,,Public HTML fallback; metadata must be rechecked before publication.,True,unlikely,no_strong_birdnet_evidence,freesound,ok,2026-07-31T08:59:08.364025+00:00,102.0,818390,,,,,,,,background,freesound_818390,category_title_tags_heuristic,http://creativecommons.org/publicdomain/zero/1.0/,CC0,Creative Commons 0,data\raw\freesound\previews\distant_traffic\freesound_818390.mp3,birds,,Street Village Ambience on a Summer Windy Day,196,-2.416,hq-mp3,e23336646173ebf400f6087a7d37c5d50441e39d627d25fd7a4788110dbb720a,https://cdn.freesound.org/previews/818/818390_17247322-hq.mp3,low,background_candidate,usable_level_candidate,,distant traffic outdoor ambience field-recording -music -loop,,2,metadata_mentions_birds,shortlist_after_human_spot_check,machine_labeled_needs_listening,,-38.768,48000.0,0.008824,https://freesound.org/s/818390/,freesound_public_web,ambience|background|birds|car|celebration|environment|explosion|field-recording|fireworks|hiss|middle-east|noise|outdoor|palestine|pump|rural|soundscape|street|summer|tawjihi|traffic|village|water|windy,sounds_from_palestine,
True,Crunchy Crisp Rain.WAV by Astounded (CC-BY),0.0,,rain_water_park,雨水与公园环境,3.3e-07,,Public HTML fallback; metadata must be rechecked before publication.,True,unlikely,no_strong_birdnet_evidence,freesound,ok,2026-07-31T09:11:15.021752+00:00,62.4742,521388,,,,,,,,background,freesound_521388,category_title_tags_heuristic,https://creativecommons.org/licenses/by/4.0/,CC-BY,Attribution 4.0,data\raw\freesound\previews\rain_water_park\freesound_521388.mp3,birds,,Crunchy Crisp Rain.WAV,147,0.057,hq-mp3,ede924edb7a4c03eb893468f93cf3b69e5a6f0ac30ff70f0146520a87d7b7de2,https://cdn.freesound.org/previews/521/521388_10201334-hq.mp3,low,background_candidate,usable_level_candidate,,rain outdoors field-recording -music -loop -synthetic,,2,metadata_mentions_birds,shortlist_after_human_spot_check,machine_labeled_needs_listening,,-29.393,96000.0,0.0,https://freesound.org/s/521388/,freesound_public_web,Astbury|Drip|Field-Recording|Outdoors|Rain|Storm|Water|Weather|ambient|birds|field-recording|forest|nature|rain-drops|rain-shower|shower|splash|trees,Astounded,
True,Rainy Sunday by the pond.wav by dibko (CC-BY),0.0,,rain_water_park,雨水与公园环境,0.0,,Public HTML fallback; metadata must be rechecked before publication.,True,unlikely,no_strong_birdnet_evidence,freesound,ok,2026-07-31T08:51:28.064393+00:00,50.5107,569803,,,,,,,,background,freesound_569803,category_title_tags_heuristic,https://creativecommons.org/licenses/by/4.0/,CC-BY,Attribution 4.0,data\raw\freesound\previews\rain_water_park\freesound_569803.mp3,bird|birds|birdsong,,Rainy Sunday by the pond.wav,85,-1.457,hq-mp3,b8f9b2d923441450e6329ec68614ce2385c7a0f8f76e0a703dbfcba7bbd396ab,https://cdn.freesound.org/previews/569/569803_10152894-hq.mp3,low,background_candidate,usable_level_candidate,,rain water park ambience field-recording -music -loop,,2,metadata_mentions_birds,shortlist_after_human_spot_check,machine_labeled_needs_listening,,-26.49,44100.0,0.0,https://freesound.org/s/569803/,freesound_public_web,ambience|ambient|animal|bird|birds|birdsong|blackcoot|field-recording|forest|nature|pond|rain|raindrops|spring|swan|water|woodpecker,dibko,
True,ambient fens Kampina National Park Netherlands 1 pm 260317_0084 by klankbeeld (CC-BY),0.0,,rain_water_park,雨水与公园环境,0.0,,Public HTML fallback; metadata must be rechecked before publication.,True,unlikely,no_strong_birdnet_evidence,freesound,ok,2026-07-31T09:09:01.441005+00:00,60.0,848492,,,,,,,,background,freesound_848492,category_title_tags_heuristic,https://creativecommons.org/licenses/by/4.0/,CC-BY,Attribution 4.0,data\raw\freesound\previews\rain_water_park\freesound_848492.mp3,bird|birds|birdsong,,ambient fens Kampina National Park Netherlands 1 pm 260317_0084,31,-6.612,hq-mp3,e7914eb0740f1c6ad60031d745c7c68f857377e78dac3cd3db94761f48794fd2,https://cdn.freesound.org/previews/848/848492_1648170-hq.mp3,low,background_candidate,usable_level_candidate,,rain water park ambience field-recording -music -loop,,2,metadata_mentions_birds,shortlist_after_human_spot_check,machine_labeled_needs_listening,,-26.763,48000.0,0.0,https://freesound.org/s/848492/,freesound_public_web,Kampina|Netherlands|ambient|background-sound|bird|birds|birdsong|fens|field-recording|general-noise|heath|heathland|marsh|marshes|marshland|moorland|moors|park|pond|van-gogh-nationaal-park|white-noise|wind,klankbeeld,
True,Hunebed D22 Bronneger.flac by uair01 (CC-BY),0.0,,wind_trees,风与树叶,0.0,,Public HTML fallback; metadata must be rechecked before publication.,True,unlikely,no_strong_birdnet_evidence,freesound,ok,2026-07-31T08:56:03.370572+00:00,40.8531,243881,,,,,,,,background,freesound_243881,category_title_tags_heuristic,http://creativecommons.org/licenses/by/3.0/,CC-BY,Attribution 3.0,data\raw\freesound\previews\wind_trees\freesound_243881.mp3,bird,,Hunebed D22 Bronneger.flac,123,-12.213,hq-mp3,e048a0af841ddcb65c09e7857d5e217fcc3fd719afb3b4151f7ff51950ffab30,https://cdn.freesound.org/previews/243/243881_717853-hq.mp3,low,background_candidate,usable_level_candidate,,wind trees leaves field-recording -music -loop -synthetic,,2,metadata_mentions_birds,shortlist_after_human_spot_check,machine_labeled_needs_listening,,-31.462,44100.0,0.00489,https://freesound.org/s/243881/,freesound_public_web,bird|dolmen|farm|field-recording|leaves|machinery|megalith|nature|rustling|silent|tree|wind,uair01,
True,Hunebed D36 Valthe.flac by uair01 (CC-BY),0.0,,wind_trees,风与树叶,0.0,,Public HTML fallback; metadata must be rechecked before publication.,True,unlikely,no_strong_birdnet_evidence,freesound,ok,2026-07-31T08:55:41.591196+00:00,70.808,243883,,,,,,,,background,freesound_243883,category_title_tags_heuristic,http://creativecommons.org/licenses/by/3.0/,CC-BY,Attribution 3.0,data\raw\freesound\previews\wind_trees\freesound_243883.mp3,bird,,Hunebed D36 Valthe.flac,291,-4.911,hq-mp3,92700390cbfed5f9ddb5ab54ac050bf495ebb727a4fef13ddca5ed6ffad6c462,https://cdn.freesound.org/previews/243/243883_717853-hq.mp3,low,background_candidate,usable_level_candidate,,wind trees leaves field-recording -music -loop -synthetic,,2,metadata_mentions_birds,shortlist_after_human_spot_check,machine_labeled_needs_listening,,-38.375,44100.0,0.007052,https://freesound.org/s/243883/,freesound_public_web,bird|dolmen|farm|field-recording|leaves|machinery|megalith|nature|rustling|silent|tree|wind,uair01,
False,"Ambience - outdoors at night, suburban, with crickets.wav by jodybruchon (CC0)",0.0,,distant_traffic,远处交通,0.0,,Public HTML fallback; metadata must be rechecked before publication.,True,unlikely,no_strong_birdnet_evidence,freesound,ok,2026-07-31T09:00:14.367723+00:00,26.0,459464,,,,,,,,background,freesound_459464,category_title_tags_heuristic,http://creativecommons.org/publicdomain/zero/1.0/,CC0,Creative Commons 0,data\raw\freesound\previews\distant_traffic\freesound_459464.mp3,,,"Ambience - outdoors at night, suburban, with crickets.wav",359,-3.335,hq-mp3,1658cb4cdd34ec1ea3941b370c77dd4beb09d52a2b1c2b6d42455aafbc9d84a7,https://cdn.freesound.org/previews/459/459464_7872308-hq.mp3,low,background_candidate,usable_level_candidate,,distant traffic outdoor ambience field-recording -music -loop,,3,routine_spot_check,shortlist_after_human_spot_check,machine_labeled_needs_listening,,-21.753,96000.0,0.0,https://freesound.org/s/459464/,freesound_public_web,ambiance|ambience|ambient|background-sound|crickets|field-recording|foley|general-noise|nature|night|outdoors|suburban,jodybruchon,
False,Forest Next to Highway by TravieDoodle (CC0),0.0,,distant_traffic,远处交通,0.0,,Public HTML fallback; metadata must be rechecked before publication.,True,unlikely,no_strong_birdnet_evidence,freesound,ok,2026-07-31T08:59:34.485302+00:00,45.5546,569176,,,,,,,,background,freesound_569176,category_title_tags_heuristic,http://creativecommons.org/publicdomain/zero/1.0/,CC0,Creative Commons 0,data\raw\freesound\previews\distant_traffic\freesound_569176.mp3,,,Forest Next to Highway,113,-6.699,hq-mp3,6f6016b0b36e9d4b04681c2a329dc1669bb853bea76ec2d9e63bd95118784cc1,https://cdn.freesound.org/previews/569/569176_6637516-hq.mp3,low,background_candidate,usable_level_candidate,,distant traffic outdoor ambience field-recording -music -loop,,3,routine_spot_check,shortlist_after_human_spot_check,machine_labeled_needs_listening,,-32.096,44100.0,0.0,https://freesound.org/s/569176/,freesound_public_web,ambience|cars|field-recording|forest|highway|nature|outdoor|outside|road|traffic,TravieDoodle,
False,Central Heating Boiler Outdoor Hum.wav by ID_23 (CC0),0.0,,distant_traffic,远处交通,0.0,,Public HTML fallback; metadata must be rechecked before publication.,True,unlikely,no_strong_birdnet_evidence,freesound,ok,2026-07-31T09:01:09.682306+00:00,29.6419,680627,,,,,,,,background,freesound_680627,category_title_tags_heuristic,http://creativecommons.org/publicdomain/zero/1.0/,CC0,Creative Commons 0,data\raw\freesound\previews\distant_traffic\freesound_680627.mp3,,,Central Heating Boiler Outdoor Hum.wav,21,-20.834,hq-mp3,7d7f92da951dff7dde1639943b0f7d2aefbca901010337edafe94a000594e8f3,https://cdn.freesound.org/previews/680/680627_2582565-hq.mp3,low,background_candidate,usable_level_candidate,,distant traffic outdoor ambience field-recording -music -loop,,3,routine_spot_check,shortlist_after_human_spot_check,machine_labeled_needs_listening,,-38.23,48000.0,0.0,https://freesound.org/s/680627/,freesound_public_web,Urban|ambience|central-heating|city|field-recording|noise,ID_23,
False,"AMB-Night,Distant Traffic,3AM, Lusofona University, Lisbon, Portugal by soundandmelodies (CC0)",0.0,,distant_traffic,远处交通,0.0,,Public HTML fallback; metadata must be rechecked before publication.,True,unlikely,no_strong_birdnet_evidence,freesound,ok,2026-07-31T09:00:51.286116+00:00,95.9,776260,,,,,,,,background,freesound_776260,category_title_tags_heuristic,http://creativecommons.org/publicdomain/zero/1.0/,CC0,Creative Commons 0,data\raw\freesound\previews\distant_traffic\freesound_776260.mp3,,,"AMB-Night,Distant Traffic,3AM, Lusofona University, Lisbon, Portugal",21,-13.161,hq-mp3,5e26de418c6a03b18b182a0399793cf01e92336af33f54fc15d56759414c3284,https://cdn.freesound.org/previews/776/776260_10924423-hq.mp3,low,background_candidate,usable_level_candidate,,distant traffic outdoor ambience field-recording -music -loop,,3,routine_spot_check,shortlist_after_human_spot_check,machine_labeled_needs_listening,,-39.525,48000.0,0.061522,https://freesound.org/s/776260/,freesound_public_web,AMB|Distant|Lisbon|Morning|Night|Portugal|Traffic,soundandmelodies,
