source,source_id,taxon_id,scientific_name,name_zh,category_id,source_url,media_url,license_code,license_url,commercial_compatible,attribution,quality_grade,observed_on,latitude,longitude,locality,split_hint,split_group,local_path,sha256,review_status,reviewer,valid_intervals,review_notes
inaturalist,inat_125124891_493119,cryptotympana_atrata,Cryptotympana atrata,黑蚱蝉,insect,https://www.inaturalist.org/observations/125124891,https://static.inaturalist.org/sounds/493119.m4a?1657168161,CC-BY,cc-by,True,"(c) Yi CHEN, some rights reserved (CC BY)",research,2022-07-07,31.2109963456,121.4029808623,"虹桥, 上海市, CN",,inaturalist_observation_125124891,data\raw\inaturalist\cryptotympana_atrata\inat_125124891_493119.m4a,816f7becd3993a3d7199441b7f08ba3bc6ca3c304d201be1e2dd3d96d872d256,pending,,,
inaturalist,inat_125124891_495654,cryptotympana_atrata,Cryptotympana atrata,黑蚱蝉,insect,https://www.inaturalist.org/observations/125124891,https://static.inaturalist.org/sounds/495654.m4a?1657438460,CC-BY,cc-by,True,"(c) Yi CHEN, some rights reserved (CC BY)",research,2022-07-07,31.2109963456,121.4029808623,"虹桥, 上海市, CN",,inaturalist_observation_125124891,data\raw\inaturalist\cryptotympana_atrata\inat_125124891_495654.m4a,816f7becd3993a3d7199441b7f08ba3bc6ca3c304d201be1e2dd3d96d872d256,duplicate,,,duplicate_of:inat_125124891_493119
inaturalist,inat_125411421_494783,cryptotympana_atrata,Cryptotympana atrata,黑蚱蝉,insect,https://www.inaturalist.org/observations/125411421,https://static.inaturalist.org/sounds/494783.mp3?1657350965,CC-BY-NC,cc-by-nc,False,"(c) 麻杰夫（common_jeff）, some rights reserved (CC BY-NC)",research,2022-07-09,40.0174693917,116.3853695346,中国北京市朝阳区,,inaturalist_observation_125411421,data\raw\inaturalist\cryptotympana_atrata\inat_125411421_494783.mp3,c4e3dbc6589e93a39cb9f9794d6d44f2a243d3105a1a81483cf86eacdc59f9c7,pending,,,
inaturalist,inat_125422399_494859,cryptotympana_atrata,Cryptotympana atrata,黑蚱蝉,insect,https://www.inaturalist.org/observations/125422399,https://static.inaturalist.org/sounds/494859.mp3?1657361523,CC-BY,cc-by,True,"(c) Wang.QG, some rights reserved (CC BY)",research,2022-07-09,31.240060805,121.446839505,中国上海市静安区,,inaturalist_observation_125422399,data\raw\inaturalist\cryptotympana_atrata\inat_125422399_494859.mp3,cd091586c610ba004cc0238b1922e2c7ebf8b72429c68630fc2cb2d7397e03ab,pending,,,
inaturalist,inat_129100791_512664,cryptotympana_atrata,Cryptotympana atrata,黑蚱蝉,insect,https://www.inaturalist.org/observations/129100791,https://static.inaturalist.org/sounds/512664.mp3?1659418178,CC-BY-NC,cc-by-nc,False,"(c) Nan Yang, some rights reserved (CC BY-NC)",research,2022-08-02,39.9240388486,115.6942557916,马栏林场,,inaturalist_observation_129100791,data\raw\inaturalist\cryptotympana_atrata\inat_129100791_512664.mp3,7f4b796b1a871a8006f04850eb980aade3544edc248180c1491b9e063d694055,pending,,,
inaturalist,inat_129695694_515646,cryptotympana_atrata,Cryptotympana atrata,黑蚱蝉,insect,https://www.inaturalist.org/observations/129695694,https://static.inaturalist.org/sounds/515646.mp3?1659803995,CC-BY-NC,cc-by-nc,False,"(c) MP Zhou, some rights reserved (CC BY-NC)",research,2022-08-07,36.2060371868,117.0483133569,"Shandong, CN",,inaturalist_observation_129695694,data\raw\inaturalist\cryptotympana_atrata\inat_129695694_515646.mp3,f26a348a2bac51b0e3b7ecaa918de2119bc26f1558cb386752ff29d65ca78c7c,pending,,,
inaturalist,inat_130187476_517676,cryptotympana_atrata,Cryptotympana atrata,黑蚱蝉,insect,https://www.inaturalist.org/observations/130187476,https://static.inaturalist.org/sounds/517676.wav?1660093938,CC-BY-NC,cc-by-nc,False,"(c) pppepper, some rights reserved (CC BY-NC)",research,2022-08-10,40.04397787,116.41924647,北京市朝阳区来广营乡绣菊园(莲葩园东),,inaturalist_observation_130187476,data\raw\inaturalist\cryptotympana_atrata\inat_130187476_517676.wav,0b74ccc98fd8667f4bb44a6bb1400812b62a36de551e7cd47af8714f73dd53a1,pending,,,
inaturalist,inat_167790243_741066,cryptotympana_atrata,Cryptotympana atrata,黑蚱蝉,insect,https://www.inaturalist.org/observations/167790243,https://static.inaturalist.org/sounds/741066.m4a?1686959467,CC-BY-NC,cc-by-nc,False,"(c) Stargazer, some rights reserved (CC BY-NC)",research,2023-06-17,25.5919911378,115.8003082367,"会昌县, 赣州市, 江西省, CN",,inaturalist_observation_167790243,data\raw\inaturalist\cryptotympana_atrata\inat_167790243_741066.m4a,7b193e5b182626027f196cc97d09dcdfc7384a6434422c6f164cdadccb6764f1,pending,,,
inaturalist,inat_171495557_761938,cryptotympana_atrata,Cryptotympana atrata,黑蚱蝉,insect,https://www.inaturalist.org/observations/171495557,https://static.inaturalist.org/sounds/761938.m4a?1688697767,CC-BY-NC,cc-by-nc,False,"(c) liuzhenhui123, some rights reserved (CC BY-NC)",research,2023-07-07,30.1252728613,114.9820939429,中国湖北省黄石市大冶市,,inaturalist_observation_171495557,data\raw\inaturalist\cryptotympana_atrata\inat_171495557_761938.m4a,5715d89f3f69746efbe44b11f562fc67a7e15f8850c0c9ed011f159bbe6b99e5,pending,,,
inaturalist,inat_172095252_765004,cryptotympana_atrata,Cryptotympana atrata,黑蚱蝉,insect,https://www.inaturalist.org/observations/172095252,https://static.inaturalist.org/sounds/765004.wav?1688958359,CC-BY-NC,cc-by-nc,False,"(c) 15721196805, some rights reserved (CC BY-NC)",research,2023-07-10,31.0279565658,121.6050045439,"Shanghai, Shanghai, CN",,inaturalist_observation_172095252,data\raw\inaturalist\cryptotympana_atrata\inat_172095252_765004.wav,7850d89419da9ac842b04b39b833b3524cc3158f1ec139e53f116de582945de1,pending,,,
