case_id,local_path,source,expected_sound_types,expected_species,label_status,label_source,location,include,reviewer,review_notes
existing_2026031918点21分——纯色啄花鸟——两声看见，野菜园,D:\C\Desktop\ai\xykw\data\2026031918点21分——纯色啄花鸟——两声看见，野菜园.wav,local_or_shared,鸟类鸣叫,纯色啄花鸟,weak,filename_local,杭州,no,,超出当前 BirdNET 六种范围
existing_20260514 12点57分——灰胸山鹪莺——两声，3H_01,D:\C\Desktop\ai\xykw\data\20260514 12点57分——灰胸山鹪莺——两声，3H_01.wav,local_or_shared,鸟类鸣叫,灰胸山鹪莺,weak,filename_local,杭州,no,,超出当前 BirdNET 六种范围
existing_251117_0912——白喉短翅鸫——背景里可能有白喉扇尾鹟,D:\C\Desktop\ai\xykw\data\251117_0912——白喉短翅鸫——背景里可能有白喉扇尾鹟.wav,local_or_shared,鸟类鸣叫,白喉短翅鸫,weak,filename_local,杭州,no,,超出当前 BirdNET 六种范围
existing_260110_1015——古铜色卷尾——看见，背景里有黑头穗鹛&白喉扇尾鹟&珠颈斑鸠,D:\C\Desktop\ai\xykw\data\260110_1015——古铜色卷尾——看见，背景里有黑头穗鹛&白喉扇尾鹟&珠颈斑鸠.wav,local_or_shared,鸟类鸣叫,古铜色卷尾,weak,filename_local,杭州,no,,超出当前 BirdNET 六种范围
existing_260113_1254——长嘴捕蛛鸟——看见，叫了三次，背景有纯色啄花鸟,D:\C\Desktop\ai\xykw\data\260113_1254——长嘴捕蛛鸟——看见，叫了三次，背景有纯色啄花鸟.wav,local_or_shared,鸟类鸣叫,长嘴捕蛛鸟,weak,filename_local,杭州,no,,超出当前 BirdNET 六种范围
existing_260301_0836——赤胸拟啄木鸟——正常节奏，背景里有噪鹃,D:\C\Desktop\ai\xykw\data\260301_0836——赤胸拟啄木鸟——正常节奏，背景里有噪鹃.wav,local_or_shared,鸟类鸣叫,赤胸拟啄木鸟,weak,filename_local,杭州,no,,超出当前 BirdNET 六种范围
existing_260404_1104——黄腹鹟莺——背景也有山蓝仙鹟雄鸟,D:\C\Desktop\ai\xykw\data\260404_1104——黄腹鹟莺——背景也有山蓝仙鹟雄鸟.wav,local_or_shared,鸟类鸣叫,黄腹鹟莺,weak,filename_local,杭州,no,,超出当前 BirdNET 六种范围
existing_260606_0923——灰卷尾——婉转叫声,D:\C\Desktop\ai\xykw\data\260606_0923——灰卷尾——婉转叫声.wav,local_or_shared,鸟类鸣叫,灰卷尾,weak,filename_local,杭州,no,,超出当前 BirdNET 六种范围
existing_260607_1024——白腰鹊鸲——近距离，B,D:\C\Desktop\ai\xykw\data\260607_1024——白腰鹊鸲——近距离，B.wav,local_or_shared,鸟类鸣叫,白腰鹊鸲,weak,filename_local,杭州,no,,超出当前 BirdNET 六种范围
existing_260622_1846——褐喉食蜜鸟——清晰A,D:\C\Desktop\ai\xykw\data\260622_1846——褐喉食蜜鸟——清晰A.wav,local_or_shared,鸟类鸣叫,褐喉食蜜鸟,weak,filename_local,杭州,no,,超出当前 BirdNET 六种范围
existing_260702_1835——白喉红臀鹎——两声和三声，清脆，看见，樟园，B,D:\C\Desktop\ai\xykw\data\260702_1835——白喉红臀鹎——两声和三声，清脆，看见，樟园，B.wav,local_or_shared,鸟类鸣叫,白喉红臀鹎,weak,filename_local,杭州,no,,超出当前 BirdNET 六种范围
existing_260704_1712——褐喉食蜜鸟——苗圃，看见，A,D:\C\Desktop\ai\xykw\data\260704_1712——褐喉食蜜鸟——苗圃，看见，A.wav,local_or_shared,鸟类鸣叫,褐喉食蜜鸟,weak,filename_local,杭州,no,,超出当前 BirdNET 六种范围
existing_260705_1905——棕胸雅鹛——二重奏，看见，至少包含四种叫声,D:\C\Desktop\ai\xykw\data\260705_1905——棕胸雅鹛——二重奏，看见，至少包含四种叫声.wav,local_or_shared,鸟类鸣叫,棕胸雅鹛,weak,filename_local,杭州,no,,超出当前 BirdNET 六种范围
existing_MLU-NF1A_20250401_074200——灰孔雀雉——背景里有橙胸咬鹃,D:\C\Desktop\ai\xykw\data\MLU-NF1A_20250401_074200——灰孔雀雉——背景里有橙胸咬鹃.wav,local_or_shared,鸟类鸣叫,灰孔雀雉,weak,filename_local,杭州,no,,超出当前 BirdNET 六种范围
existing_XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,xeno_canto,鸟类鸣叫,珠颈斑鸠,weak,filename_xeno_canto,杭州,yes,,核心六种候选
