audio_path,labels,split,split_group,review_status,start_seconds,end_seconds,source_dataset,source_recording_id,source_url,license,commercial_compatible,reviewer
..\raw\inaturalist\cryptotympana_atrata\inat_125124891_493119.m4a,cryptotympana_atrata,test,inaturalist_observation_125124891,source_curated,,,inaturalist,inat_125124891_493119,https://www.inaturalist.org/observations/125124891,CC-BY,true,
..\raw\inaturalist\cryptotympana_atrata\inat_125411421_494783.mp3,cryptotympana_atrata,train,inaturalist_observation_125411421,source_curated,,,inaturalist,inat_125411421_494783,https://www.inaturalist.org/observations/125411421,CC-BY-NC,false,
..\raw\inaturalist\cryptotympana_atrata\inat_125422399_494859.mp3,cryptotympana_atrata,test,inaturalist_observation_125422399,source_curated,,,inaturalist,inat_125422399_494859,https://www.inaturalist.org/observations/125422399,CC-BY,true,
..\raw\inaturalist\cryptotympana_atrata\inat_129100791_512664.mp3,cryptotympana_atrata,train,inaturalist_observation_129100791,source_curated,,,inaturalist,inat_129100791_512664,https://www.inaturalist.org/observations/129100791,CC-BY-NC,false,
..\raw\inaturalist\cryptotympana_atrata\inat_129695694_515646.mp3,cryptotympana_atrata,train,inaturalist_observation_129695694,source_curated,,,inaturalist,inat_129695694_515646,https://www.inaturalist.org/observations/129695694,CC-BY-NC,false,
..\raw\inaturalist\cryptotympana_atrata\inat_130187476_517676.wav,cryptotympana_atrata,train,inaturalist_observation_130187476,source_curated,,,inaturalist,inat_130187476_517676,https://www.inaturalist.org/observations/130187476,CC-BY-NC,false,
..\raw\inaturalist\cryptotympana_atrata\inat_167790243_741066.m4a,cryptotympana_atrata,train,inaturalist_observation_167790243,source_curated,,,inaturalist,inat_167790243_741066,https://www.inaturalist.org/observations/167790243,CC-BY-NC,false,
..\raw\inaturalist\cryptotympana_atrata\inat_171495557_761938.m4a,cryptotympana_atrata,train,inaturalist_observation_171495557,source_curated,,,inaturalist,inat_171495557_761938,https://www.inaturalist.org/observations/171495557,CC-BY-NC,false,
..\raw\inaturalist\cryptotympana_atrata\inat_172095252_765004.wav,cryptotympana_atrata,train,inaturalist_observation_172095252,source_curated,,,inaturalist,inat_172095252_765004,https://www.inaturalist.org/observations/172095252,CC-BY-NC,false,
..\raw\inaturalist\cryptotympana_atrata\inat_227014234_1119922.m4a,cryptotympana_atrata,train,inaturalist_observation_227014234,source_curated,,,inaturalist,inat_227014234_1119922,https://www.inaturalist.org/observations/227014234,CC-BY-NC,false,
..\raw\inaturalist\cryptotympana_atrata\inat_227967833_1125073.m4a,cryptotympana_atrata,train,inaturalist_observation_227967833,source_curated,,,inaturalist,inat_227967833_1125073,https://www.inaturalist.org/observations/227967833,CC-BY-NC,false,
