confidence,end_seconds,local_path,primary_label_weak,recording_id,sha256,species_label,species_name_zh,start_seconds
0.142334,3.0,D:\C\Desktop\ai\xykw\data\260110_1015——古铜色卷尾——看见，背景里有黑头穗鹛&白喉扇尾鹟&珠颈斑鸠.wav,古铜色卷尾,260110_1015——古铜色卷尾——看见，背景里有黑头穗鹛&白喉扇尾鹟&珠颈斑鸠,76b2bb8bf0fab7d1e847944fb63c16fdeed7e1ced049b1f48a90e943df17e38e,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,0.0
0.158773,12.0,D:\C\Desktop\ai\xykw\data\260110_1015——古铜色卷尾——看见，背景里有黑头穗鹛&白喉扇尾鹟&珠颈斑鸠.wav,古铜色卷尾,260110_1015——古铜色卷尾——看见，背景里有黑头穗鹛&白喉扇尾鹟&珠颈斑鸠,76b2bb8bf0fab7d1e847944fb63c16fdeed7e1ced049b1f48a90e943df17e38e,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,9.0
0.130692,21.0,D:\C\Desktop\ai\xykw\data\260301_0836——赤胸拟啄木鸟——正常节奏，背景里有噪鹃.wav,赤胸拟啄木鸟,260301_0836——赤胸拟啄木鸟——正常节奏，背景里有噪鹃,7e90e3adf37171a86665c594182a7c65676f1e37c7cfe4213f7d31bb95e6d94a,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,18.0
0.162225,3.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,0.0
0.974994,6.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,3.0
0.975939,9.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,6.0
0.624247,12.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,9.0
0.988867,15.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,12.0
0.994399,18.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,15.0
0.990937,21.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,18.0
0.981877,24.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,21.0
0.990945,27.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,24.0
0.985024,30.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,27.0
0.992733,33.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,30.0
0.933183,36.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,33.0
0.956777,39.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,36.0
