confidence,end_seconds,label,label_type,local_path,segment_id,source_group,split,start_seconds
0.99631,63.0,珠颈斑鸠,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,pos_9a577cf6614f_00060000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,validation,60.0
0.994482,66.0,珠颈斑鸠,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,pos_9a577cf6614f_00063000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,validation,63.0
0.994399,18.0,珠颈斑鸠,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,pos_9a577cf6614f_00015000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,validation,15.0
0.992733,33.0,珠颈斑鸠,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,pos_9a577cf6614f_00030000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,validation,30.0
0.992446,60.0,珠颈斑鸠,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,pos_9a577cf6614f_00057000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,validation,57.0
0.991561,45.0,珠颈斑鸠,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,pos_9a577cf6614f_00042000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,validation,42.0
0.991528,93.0,珠颈斑鸠,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,pos_9a577cf6614f_00090000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,validation,90.0
0.991028,54.0,珠颈斑鸠,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,pos_9a577cf6614f_00051000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,validation,51.0
0.990945,27.0,珠颈斑鸠,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,pos_9a577cf6614f_00024000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,validation,24.0
0.990937,21.0,珠颈斑鸠,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,pos_9a577cf6614f_00018000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,validation,18.0
0.988867,15.0,珠颈斑鸠,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,pos_9a577cf6614f_00012000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,validation,12.0
0.988687,75.0,珠颈斑鸠,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,pos_9a577cf6614f_00072000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,validation,72.0
0.987843,90.0,珠颈斑鸠,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,pos_9a577cf6614f_00087000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,validation,87.0
0.985024,30.0,珠颈斑鸠,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,pos_9a577cf6614f_00027000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,validation,27.0
0.98344,81.0,珠颈斑鸠,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,pos_9a577cf6614f_00078000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,validation,78.0
0.981877,24.0,珠颈斑鸠,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,pos_9a577cf6614f_00021000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,validation,21.0
0.980499,78.0,珠颈斑鸠,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,pos_9a577cf6614f_00075000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,validation,75.0
0.977337,42.0,珠颈斑鸠,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,pos_9a577cf6614f_00039000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,validation,39.0
0.975939,9.0,珠颈斑鸠,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,pos_9a577cf6614f_00006000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,validation,6.0
0.975894,87.0,珠颈斑鸠,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,pos_9a577cf6614f_00084000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,validation,84.0
0.974994,6.0,珠颈斑鸠,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,pos_9a577cf6614f_00003000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,validation,3.0
0.971229,57.0,珠颈斑鸠,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,pos_9a577cf6614f_00054000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,validation,54.0
0.961863,69.0,珠颈斑鸠,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,pos_9a577cf6614f_00066000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,validation,66.0
0.961855,105.0,珠颈斑鸠,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,pos_9a577cf6614f_00102000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,validation,102.0
0.956777,39.0,珠颈斑鸠,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,pos_9a577cf6614f_00036000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,validation,36.0
0.950411,96.0,珠颈斑鸠,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,pos_9a577cf6614f_00093000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,validation,93.0
0.933183,36.0,珠颈斑鸠,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,pos_9a577cf6614f_00033000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,validation,33.0
0.927646,48.0,珠颈斑鸠,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,pos_9a577cf6614f_00045000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,validation,45.0
0.845893,51.0,珠颈斑鸠,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,pos_9a577cf6614f_00048000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,validation,48.0
0.813828,102.0,珠颈斑鸠,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,pos_9a577cf6614f_00099000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,validation,99.0
0.800079,129.0,珠颈斑鸠,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,pos_9a577cf6614f_00126000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,validation,126.0
0.768642,117.0,珠颈斑鸠,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,pos_9a577cf6614f_00114000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,validation,114.0
0.717204,123.0,珠颈斑鸠,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,pos_9a577cf6614f_00120000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,validation,120.0
0.624247,12.0,珠颈斑鸠,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,pos_9a577cf6614f_00009000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,validation,9.0
0.965494,138.0,白头鹎,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,pos_357be415e7d5_00135000,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,train,135.0
0.950947,78.0,白头鹎,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,pos_357be415e7d5_00075000,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,train,75.0
0.944086,210.0,白头鹎,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,pos_357be415e7d5_00207000,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,train,207.0
0.940599,144.0,白头鹎,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,pos_357be415e7d5_00141000,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,train,141.0
0.9397,120.0,白头鹎,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,pos_357be415e7d5_00117000,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,train,117.0
0.932125,204.0,白头鹎,birdnet_candidate_needs_listening,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,pos_357be415e7d5_00201000,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,train,201.0
