attribution_required,attribution_text,audio_format,audio_subtype,background_labels,birdnet_max_confidence,birdnet_target_detections,birdnet_top_species,bytes,category,category_name_zh,channels,clipping_sample_fraction,codec_stderr,collector_note,commercial_compatible,contains_speech,contains_target_species,current_path,dataset_key,decode_status,downloaded_at,duration_seconds,filename,frames,freesound_id,human_contains_speech,human_contains_target_species,human_final_class,human_review_notes,human_reviewed_at,human_reviewer,human_valid_intervals,indexed_at,intended_use,item_id,label_basis,label_source,license,license_code,license_label,local_path,metadata_bird_terms,metadata_speech_terms,mixture_hint,name,num_downloads,peak_dbfs,preview_kind,preview_sha256,preview_url,primary_label_weak,privacy_risk,provisional_class,quality_flag,quality_read_error,query,read_error,recording_id,review_notes,review_priority,review_reasons,review_recommendation,review_status,reviewed_class,reviewed_primary_label,rms_dbfs,samplerate,sha256,silent_block_fraction,sound_url,source,source_id,source_url,suffix,tags,username,valid_intervals
,,WAV,PCM_16,,0.0,,,11522630,existing_species_recording,既有物种录音,2,0.0,,,,unchecked,non_core_species_filename,D:\C\Desktop\ai\xykw\data\MLU-NF1A_20250401_074200——灰孔雀雉——背景里有橙胸咬鹃.wav,existing,ok,,60.0,MLU-NF1A_20250401_074200——灰孔雀雉——背景里有橙胸咬鹃.wav,2880000,,,,,,,,,2026-07-31T08:36:44.716387+00:00,,existing_0a26af81fd16_213774b6,filename_local,,,UNKNOWN,,D:\C\Desktop\ai\xykw\data\MLU-NF1A_20250401_074200——灰孔雀雉——背景里有橙胸咬鹃.wav,,,True,MLU-NF1A_20250401_074200——灰孔雀雉——背景里有橙胸咬鹃.wav,,-17.707,,,,灰孔雀雉,unknown_needs_listening,mixed_species_review,usable_level_candidate,,,,MLU-NF1A_20250401_074200——灰孔雀雉——背景里有橙胸咬鹃,,1,filename_indicates_mixed_species|license_and_origin_check,listen_before_accept_or_reject,machine_labeled_needs_listening,,,-26.017,48000,0a26af81fd16e062ddaef353967b0dd2cda92ad705e78e6c33b98c84a5a343ef,0.0,,local_or_shared,,,.wav,,,
,,WAV,PCM_24,,0.0,,,35442342,existing_species_recording,既有物种录音,2,0.0,,,,unchecked,non_core_species_filename,D:\C\Desktop\ai\xykw\data\260705_1905——棕胸雅鹛——二重奏，看见，至少包含四种叫声.wav,existing,ok,,123.034292,260705_1905——棕胸雅鹛——二重奏，看见，至少包含四种叫声.wav,5905646,,,,,,,,,2026-07-31T08:36:44.716387+00:00,,existing_0afd773d2037_71021d81,filename_local,,,UNKNOWN,,D:\C\Desktop\ai\xykw\data\260705_1905——棕胸雅鹛——二重奏，看见，至少包含四种叫声.wav,,,True,260705_1905——棕胸雅鹛——二重奏，看见，至少包含四种叫声.wav,,-2.1,,,,棕胸雅鹛,unknown_needs_listening,mixed_species_review,usable_level_candidate,,,,260705_1905——棕胸雅鹛——二重奏，看见，至少包含四种叫声,,1,filename_indicates_mixed_species|license_and_origin_check,listen_before_accept_or_reject,machine_labeled_needs_listening,,,-26.396,48000,0afd773d2037f8c1b324b2ff2781b8b00e328a1ed99e56f3d6dc327fb001eb60,0.0,,local_or_shared,,,.wav,,,
,,WAV,PCM_24,,0.0,,,87880786,existing_species_recording,既有物种录音,2,0.0,,,,unchecked,non_core_species_filename,D:\C\Desktop\ai\xykw\data\251117_0912——白喉短翅鸫——背景里可能有白喉扇尾鹟.wav,existing,ok,,305.127396,251117_0912——白喉短翅鸫——背景里可能有白喉扇尾鹟.wav,14646115,,,,,,,,,2026-07-31T08:36:44.716387+00:00,,existing_1bacc7a801fe_38a95c18,filename_local,,,UNKNOWN,,D:\C\Desktop\ai\xykw\data\251117_0912——白喉短翅鸫——背景里可能有白喉扇尾鹟.wav,,,True,251117_0912——白喉短翅鸫——背景里可能有白喉扇尾鹟.wav,,-8.973,,,,白喉短翅鸫,unknown_needs_listening,mixed_species_review,very_quiet_review,,,,251117_0912——白喉短翅鸫——背景里可能有白喉扇尾鹟,,1,filename_indicates_mixed_species|license_and_origin_check,listen_before_accept_or_reject,machine_labeled_needs_listening,,,-45.991,48000,1bacc7a801fedb5105f77a5cc328205f02d78b3f9f65306f973f7ab670cf7a55,0.783748,,local_or_shared,,,.wav,,,
,,WAV,PCM_24,,0.796386,,珠颈斑鸠,9797632,existing_species_recording,既有物种录音,2,0.0,,,,unchecked,birdnet_supports_filename_needs_listening,D:\C\Desktop\ai\xykw\data\XC961570 - 珠颈斑鸠 - Spilopelia chinensis.wav,existing,ok,,17.002667,XC961570 - 珠颈斑鸠 - Spilopelia chinensis.wav,1632256,,,,,,,,,2026-07-31T08:36:44.716387+00:00,,existing_237616fbbc57_7351034d,filename_xeno_canto,,,UNKNOWN,,D:\C\Desktop\ai\xykw\data\XC961570 - 珠颈斑鸠 - Spilopelia chinensis.wav,,,False,XC961570 - 珠颈斑鸠 - Spilopelia chinensis.wav,,-12.707,,,,珠颈斑鸠,unknown_needs_listening,positive_species_candidate,very_quiet_review,,,,XC961570 - 珠颈斑鸠 - Spilopelia chinensis,,1,core_species_positive_candidate,listen_before_accept_or_reject,machine_labeled_needs_listening,,,-53.772,96000,237616fbbc571e0c633b2dce937d7848c211f8e02b570bfcd52c6f10b3f00135,0.94152,,xeno_canto,XC961570,,.wav,,,
,,MP3,MPEG_LAYER_III,,0.965494,,白头鹎,5080915,existing_species_recording,既有物种录音,2,0.0,,,,unchecked,birdnet_supports_filename_needs_listening,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,existing,ok,,211.426479,XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,10148471,,,,,,,,,2026-07-31T08:36:44.716387+00:00,,existing_357be415e7d5_e5a1701c,filename_xeno_canto,,,UNKNOWN,,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,,,False,XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,,-17.509,,,,白头鹎,unknown_needs_listening,positive_species_candidate,sparse_or_silent_review,,,,XC1106815 - 白头鹎 - Pycnonotus sinensis,,1,core_species_positive_candidate,listen_before_accept_or_reject,machine_labeled_needs_listening,,,-43.211,48000,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,0.803783,,xeno_canto,XC1106815,,.mp3,,,
,,WAV,PCM_24,,0.0,,,21087412,existing_species_recording,既有物种录音,2,1.4e-07,,,,unchecked,non_core_species_filename,D:\C\Desktop\ai\xykw\data\260404_1104——黄腹鹟莺——背景也有山蓝仙鹟雄鸟.wav,existing,ok,,73.205958,260404_1104——黄腹鹟莺——背景也有山蓝仙鹟雄鸟.wav,3513886,,,,,,,,,2026-07-31T08:36:44.716387+00:00,,existing_6d0f7a1a46f5_38b58e2d,filename_local,,,UNKNOWN,,D:\C\Desktop\ai\xykw\data\260404_1104——黄腹鹟莺——背景也有山蓝仙鹟雄鸟.wav,,,True,260404_1104——黄腹鹟莺——背景也有山蓝仙鹟雄鸟.wav,,0.0,,,,黄腹鹟莺,unknown_needs_listening,mixed_species_review,usable_level_candidate,,,,260404_1104——黄腹鹟莺——背景也有山蓝仙鹟雄鸟,,1,filename_indicates_mixed_species|license_and_origin_check,listen_before_accept_or_reject,machine_labeled_needs_listening,,,-27.363,48000,6d0f7a1a46f54d63279e99cb4c3537cf1ffa9e69df166033863db26f0a413fbb,0.005457,,local_or_shared,,,.wav,,,
,,WAV,PCM_24,,0.0,,珠颈斑鸠,15177934,existing_species_recording,既有物种录音,2,0.0,,,,unchecked,non_core_species_filename,D:\C\Desktop\ai\xykw\data\260110_1015——古铜色卷尾——看见，背景里有黑头穗鹛&白喉扇尾鹟&珠颈斑鸠.wav,existing,ok,,52.686937,260110_1015——古铜色卷尾——看见，背景里有黑头穗鹛&白喉扇尾鹟&珠颈斑鸠.wav,2528973,,,,,,,,,2026-07-31T08:36:44.716387+00:00,,existing_76b2bb8bf0fa_63839512,filename_local,,,UNKNOWN,,D:\C\Desktop\ai\xykw\data\260110_1015——古铜色卷尾——看见，背景里有黑头穗鹛&白喉扇尾鹟&珠颈斑鸠.wav,,,True,260110_1015——古铜色卷尾——看见，背景里有黑头穗鹛&白喉扇尾鹟&珠颈斑鸠.wav,,-1.067,,,,古铜色卷尾,unknown_needs_listening,mixed_species_review,usable_level_candidate,,,,260110_1015——古铜色卷尾——看见，背景里有黑头穗鹛&白喉扇尾鹟&珠颈斑鸠,,1,filename_indicates_mixed_species|license_and_origin_check,listen_before_accept_or_reject,machine_labeled_needs_listening,,,-27.781,48000,76b2bb8bf0fab7d1e847944fb63c16fdeed7e1ced049b1f48a90e943df17e38e,0.01518,,local_or_shared,,,.wav,,,
,,WAV,PCM_24,,0.0,,,15024166,existing_species_recording,既有物种录音,2,0.0,,,,unchecked,non_core_species_filename,D:\C\Desktop\ai\xykw\data\260113_1254——长嘴捕蛛鸟——看见，叫了三次，背景有纯色啄花鸟.wav,existing,ok,,52.153021,260113_1254——长嘴捕蛛鸟——看见，叫了三次，背景有纯色啄花鸟.wav,2503345,,,,,,,,,2026-07-31T08:36:44.716387+00:00,,existing_7a95052ec83d_66395627,filename_local,,,UNKNOWN,,D:\C\Desktop\ai\xykw\data\260113_1254——长嘴捕蛛鸟——看见，叫了三次，背景有纯色啄花鸟.wav,,,True,260113_1254——长嘴捕蛛鸟——看见，叫了三次，背景有纯色啄花鸟.wav,,-0.785,,,,长嘴捕蛛鸟,unknown_needs_listening,mixed_species_review,usable_level_candidate,,,,260113_1254——长嘴捕蛛鸟——看见，叫了三次，背景有纯色啄花鸟,,1,filename_indicates_mixed_species|license_and_origin_check,listen_before_accept_or_reject,machine_labeled_needs_listening,,,-26.186,48000,7a95052ec83d649294b7b243ef68bf0eec15a096d0d274650cc3fa19d5ba6bc7,0.0,,local_or_shared,,,.wav,,,
,,WAV,PCM_24,,0.0,,白头鹎,11376988,existing_species_recording,既有物种录音,2,2.031e-05,,,,unchecked,non_core_species_filename,D:\C\Desktop\ai\xykw\data\260301_0836——赤胸拟啄木鸟——正常节奏，背景里有噪鹃.wav,existing,ok,,39.489208,260301_0836——赤胸拟啄木鸟——正常节奏，背景里有噪鹃.wav,1895482,,,,,,,,,2026-07-31T08:36:44.716387+00:00,,existing_7e90e3adf371_25af8d4e,filename_local,,,UNKNOWN,,D:\C\Desktop\ai\xykw\data\260301_0836——赤胸拟啄木鸟——正常节奏，背景里有噪鹃.wav,,,True,260301_0836——赤胸拟啄木鸟——正常节奏，背景里有噪鹃.wav,,0.0,,,,赤胸拟啄木鸟,unknown_needs_listening,mixed_species_review,usable_level_candidate,,,,260301_0836——赤胸拟啄木鸟——正常节奏，背景里有噪鹃,,1,filename_indicates_mixed_species|license_and_origin_check,listen_before_accept_or_reject,machine_labeled_needs_listening,,,-28.459,48000,7e90e3adf37171a86665c594182a7c65676f1e37c7cfe4213f7d31bb95e6d94a,0.017722,,local_or_shared,,,.wav,,,
,,WAV,PCM_24,,0.99631,,珠颈斑鸠,37981086,existing_species_recording,既有物种录音,2,0.0,,,,unchecked,birdnet_supports_filename_needs_listening,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,existing,ok,,131.858042,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,6329186,,,,,,,,,2026-07-31T08:36:44.716387+00:00,,existing_9a577cf6614f_cc43198f,filename_xeno_canto,,,UNKNOWN,,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,,,False,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,,-3.05,,,,珠颈斑鸠,unknown_needs_listening,positive_species_candidate,usable_level_candidate,,,,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),,1,core_species_positive_candidate,listen_before_accept_or_reject,machine_labeled_needs_listening,,,-24.154,48000,9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,0.021228,,xeno_canto,XC1002930,,.wav,,,
